CityName,CityCode,MSOAName,MSOACode,Area
Coventry,J01000028,Coventry 005,E02001962,1.42754187774658
Coventry,J01000028,Coventry 006,E02001963,1.2851987744140598
Coventry,J01000028,Coventry 007,E02001964,3.29480430976105
Coventry,J01000028,Coventry 008,E02001965,2.25911007432556
Coventry,J01000028,Coventry 009,E02001966,1.17486132144165
Coventry,J01000028,Coventry 010,E02001967,16.3506281602478
Coventry,J01000028,Coventry 011,E02001968,1.5878299036026
Coventry,J01000028,Coventry 012,E02001969,0.9310237552795411
Coventry,J01000028,Coventry 013,E02001970,1.75044749552917
Coventry,J01000028,Coventry 014,E02001971,1.1136903350296
Coventry,J01000028,Coventry 015,E02001972,1.88985236573792
Coventry,J01000028,Coventry 016,E02001973,1.29310591177368
Coventry,J01000028,Coventry 017,E02001974,2.0387829683914203
Coventry,J01000028,Coventry 018,E02001975,1.1956447716827399
Coventry,J01000028,Coventry 019,E02001976,3.36562946766663
Coventry,J01000028,Coventry 020,E02001977,1.47084640218353
Coventry,J01000028,Coventry 021,E02001978,0.998949387413025
Coventry,J01000028,Coventry 022,E02001979,1.38675619406128
Coventry,J01000028,Coventry 023,E02001980,1.37585707926941
Coventry,J01000028,Coventry 024,E02001981,1.2403334405364999
Coventry,J01000028,Coventry 025,E02001982,2.05875176339722
Coventry,J01000028,Coventry 026,E02001983,2.05848592858124
Coventry,J01000028,Coventry 027,E02001984,1.5868918187561
Coventry,J01000028,Coventry 028,E02001985,1.2117964724655201
Coventry,J01000028,Coventry 029,E02001986,1.99201274819946
Coventry,J01000028,Coventry 030,E02001987,0.839364421821594
Coventry,J01000028,Coventry 031,E02001988,2.18388462003326
Coventry,J01000028,Coventry 032,E02001989,1.3079643398056
Coventry,J01000028,Coventry 033,E02001990,2.2667717621841397
Coventry,J01000028,Coventry 034,E02001991,3.34485776991272
Coventry,J01000028,Coventry 035,E02001992,2.85588134113312
Coventry,J01000028,Coventry 036,E02001993,4.0654118908309895
Coventry,J01000028,Coventry 037,E02001994,1.37432198547363
Coventry,J01000028,Coventry 038,E02001995,4.5418976380996705
Coventry,J01000028,Coventry 039,E02001996,1.54223130574036
Coventry,J01000028,Coventry 040,E02001997,2.1616000747985797
Coventry,J01000028,Coventry 041,E02001998,1.31965146074677
Coventry,J01000028,Coventry 042,E02001999,4.67172753897095
Coventry,J01000028,Coventry 043,E02006805,1.31815161444092
Coventry,J01000028,Nuneaton and Bedworth 018,E02006806,5.59448204484558
Derby,J01000031,Derby 001,E02002796,3.34947656098938
Derby,J01000031,Derby 002,E02002797,3.1129098505706803
Derby,J01000031,Derby 003,E02002798,2.36710316955566
Derby,J01000031,Derby 004,E02002799,2.08118632785034
Derby,J01000031,Derby 005,E02002800,3.21169606886292
Derby,J01000031,Derby 006,E02002801,1.60540843548584
Derby,J01000031,Derby 007,E02002802,2.99634954162598
Derby,J01000031,Derby 008,E02002803,1.94690594598389
Derby,J01000031,Derby 009,E02002804,2.09735286447144
Derby,J01000031,Derby 010,E02002805,2.22608979078674
Derby,J01000031,Derby 011,E02002806,0.765085119338989
Derby,J01000031,Derby 012,E02002807,2.8249881446075404
Derby,J01000031,Derby 013,E02002808,2.21383083226013
Derby,J01000031,Derby 014,E02002809,5.72998261528015
Derby,J01000031,Derby 015,E02002810,2.9222769661407497
Derby,J01000031,Derby 016,E02002811,0.998595351715088
Derby,J01000031,Derby 017,E02002812,2.53497511108398
Derby,J01000031,Derby 018,E02002813,1.84013831051636
Derby,J01000031,Derby 019,E02002814,2.13653294398499
Derby,J01000031,Derby 020,E02002815,0.830804979492188
Derby,J01000031,Derby 021,E02002816,3.3488460181732203
Derby,J01000031,Derby 022,E02002817,1.69008952807617
Derby,J01000031,Derby 023,E02002818,1.2933758526306198
Derby,J01000031,Derby 024,E02002819,5.14008301950073
Derby,J01000031,Derby 025,E02002820,1.7222067505645802
Derby,J01000031,Derby 026,E02002821,2.9070991967620903
Derby,J01000031,Derby 027,E02002822,1.67253540673828
Derby,J01000031,Derby 028,E02002823,1.94956806513977
Derby,J01000031,Derby 029,E02002824,5.40125321714783
Derby,J01000031,Derby 030,E02002825,2.7884798003387496
Derby,J01000031,Derby 031,E02002826,2.3002393304595903
Derby,J01000031,South Derbyshire 003,E02004120,16.650636375
Doncaster,J01000032,Doncaster 007,E02001545,13.421400566696201
Doncaster,J01000032,Doncaster 011,E02001549,4.17755990235901
Doncaster,J01000032,Doncaster 015,E02001553,5.34287791345215
Doncaster,J01000032,Doncaster 018,E02001556,2.75377159858704
Doncaster,J01000032,Doncaster 019,E02001557,3.81705029801941
Doncaster,J01000032,Doncaster 021,E02001559,8.718110008377081
Doncaster,J01000032,Doncaster 022,E02001560,3.97491443849182
Doncaster,J01000032,Doncaster 023,E02001561,1.3116538319397
Doncaster,J01000032,Doncaster 024,E02001562,3.03621046685791
Doncaster,J01000032,Doncaster 025,E02001563,2.59536076739502
Doncaster,J01000032,Doncaster 027,E02001565,5.56492508135986
Doncaster,J01000032,Doncaster 028,E02001566,5.98978829148865
Doncaster,J01000032,Doncaster 029,E02001567,2.1762216521911597
Doncaster,J01000032,Doncaster 033,E02001571,31.7214677831421
Doncaster,J01000032,Doncaster 034,E02001572,7.52359359597778
Exeter,J01000035,Exeter 001,E02004149,7.16252263035584
Exeter,J01000035,Exeter 002,E02004150,2.98663730998802
Exeter,J01000035,Exeter 003,E02004151,3.69517742809486
Exeter,J01000035,Exeter 004,E02004152,1.03859413447189
Exeter,J01000035,Exeter 005,E02004153,3.3459730790824898
Exeter,J01000035,Exeter 006,E02004154,1.08737637081528
Exeter,J01000035,Exeter 007,E02004155,1.58900578582764
Exeter,J01000035,Exeter 008,E02004156,1.9138192039165498
Exeter,J01000035,Exeter 009,E02004157,1.43973470181084
Exeter,J01000035,Exeter 010,E02004158,1.0539625912933401
Exeter,J01000035,Exeter 011,E02004159,7.17770246749306
Exeter,J01000035,Exeter 012,E02004160,2.8917485736579898
Exeter,J01000035,Exeter 013,E02004161,1.80386179439926
Exeter,J01000035,Exeter 014,E02004162,5.04864129128838
Leeds,J01000051,Leeds 012,E02002341,13.393985810913101
Leeds,J01000051,Leeds 013,E02002342,3.0270131312561
Leeds,J01000051,Leeds 015,E02002344,1.86980270649719
Leeds,J01000051,Leeds 016,E02002345,5.28925115130615
Leeds,J01000051,Leeds 017,E02002346,1.4687982150421102
Leeds,J01000051,Leeds 018,E02002347,1.88057240794373
Leeds,J01000051,Leeds 019,E02002348,2.3741511293487503
Leeds,J01000051,Leeds 020,E02002349,4.63327768847656
Leeds,J01000051,Leeds 023,E02002352,1.60842136495972
Leeds,J01000051,Leeds 024,E02002353,1.25384061494446
Leeds,J01000051,Leeds 025,E02002354,1.99161312763977
Leeds,J01000051,Leeds 029,E02002358,2.9615255716857902
Leeds,J01000051,Leeds 031,E02002360,1.6290772985839799
Leeds,J01000051,Leeds 032,E02002361,1.9208171963501
Leeds,J01000051,Leeds 033,E02002362,2.5499113131103504
Leeds,J01000051,Leeds 034,E02002363,1.42237671720886
Leeds,J01000051,Leeds 035,E02002364,1.58334734715271
Leeds,J01000051,Leeds 037,E02002366,2.29382254631042
Leeds,J01000051,Leeds 038,E02002367,1.78860180387878
Leeds,J01000051,Leeds 040,E02002369,1.71326681208801
Leeds,J01000051,Leeds 041,E02002370,1.98180665306091
Leeds,J01000051,Leeds 042,E02002371,1.76351527990723
Leeds,J01000051,Leeds 044,E02002373,0.864250288238525
Leeds,J01000051,Leeds 045,E02002374,1.6749392666320801
Leeds,J01000051,Leeds 046,E02002375,2.45215218247986
Leeds,J01000051,Leeds 047,E02002376,1.1066597929840098
Leeds,J01000051,Leeds 048,E02002377,0.513254849136353
Leeds,J01000051,Leeds 050,E02002379,1.2505065931243902
Leeds,J01000051,Leeds 051,E02002380,1.34670460267639
Leeds,J01000051,Leeds 052,E02002381,2.16596827201843
Leeds,J01000051,Leeds 053,E02002382,0.473655761047363
Leeds,J01000051,Leeds 054,E02002383,0.408161997909546
Leeds,J01000051,Leeds 055,E02002384,1.95179561758423
Leeds,J01000051,Leeds 056,E02002385,1.34111818331909
Leeds,J01000051,Leeds 057,E02002386,7.000457807800291
Leeds,J01000051,Leeds 058,E02002387,1.1680991650238
Leeds,J01000051,Leeds 059,E02002388,1.8160130561370902
Leeds,J01000051,Leeds 060,E02002389,2.02462454689026
Leeds,J01000051,Leeds 061,E02002390,1.7803936280517598
Leeds,J01000051,Leeds 063,E02002392,1.32748875402832
