CityName,CityCode,MSOAName,MSOACode,Population,PopulationDensity
Derby,J01000031,Derby 012,E02002807,8632.0,3055.588044316977
Derby,J01000031,Derby 013,E02002808,13142.0,5936.316275161438
Derby,J01000031,Derby 014,E02002809,6702.0,1169.6370565117895
Derby,J01000031,Derby 015,E02002810,8484.0,2903.2155741227484
Derby,J01000031,Derby 016,E02002811,11482.0,11498.150857882185
Derby,J01000031,Derby 017,E02002812,7567.0,2985.039169384301
Derby,J01000031,Derby 018,E02002813,11785.0,6404.409892804752
Derby,J01000031,Derby 019,E02002814,6912.0,3235.1478686342966
Derby,J01000031,Derby 020,E02002815,8876.0,10683.61434885148
Derby,J01000031,Derby 021,E02002816,9476.0,2829.6314457507106
Derby,J01000031,Derby 022,E02002817,6182.0,3657.794393316533
Derby,J01000031,Derby 023,E02002818,8584.0,6636.8952091852125
Derby,J01000031,Derby 024,E02002819,7863.0,1529.7418291044946
Derby,J01000031,Derby 025,E02002820,9594.0,5570.759722579684
Derby,J01000031,Derby 026,E02002821,12060.0,4148.46525135171
Derby,J01000031,Derby 027,E02002822,6630.0,3964.0416419820936
Derby,J01000031,Derby 028,E02002823,7306.0,3747.4967561474764
Derby,J01000031,Derby 029,E02002824,9883.0,1829.76053939178
Derby,J01000031,Derby 030,E02002825,8523.0,3056.504120619633
Derby,J01000031,Derby 031,E02002826,6986.0,3037.0752762514453
Doncaster,J01000032,Doncaster 007,E02001545,8251.0,614.7644546481977
Doncaster,J01000032,Doncaster 011,E02001549,6193.0,1482.4443322770546
Doncaster,J01000032,Doncaster 015,E02001553,10466.0,1958.8693901556303
Doncaster,J01000032,Doncaster 018,E02001556,9589.0,3482.133378425471
Doncaster,J01000032,Doncaster 019,E02001557,10367.0,2715.971546243241
Doncaster,J01000032,Doncaster 021,E02001559,7551.0,866.1280934450672
Doncaster,J01000032,Doncaster 022,E02001560,13496.0,3395.2932091591674
Doncaster,J01000032,Doncaster 023,E02001561,6764.0,5156.848426994843
Doncaster,J01000032,Doncaster 024,E02001562,5861.0,1930.3668385233473
Doncaster,J01000032,Doncaster 025,E02001563,8168.0,3147.1539920819077
Doncaster,J01000032,Doncaster 027,E02001565,7475.0,1343.2346151501808
Doncaster,J01000032,Doncaster 028,E02001566,9278.0,1548.9696043487584
Doncaster,J01000032,Doncaster 029,E02001567,8932.0,4104.361332406875
Doncaster,J01000032,Doncaster 033,E02001571,6101.0,192.33031843634566
Doncaster,J01000032,Doncaster 034,E02001572,7636.0,1014.9405204558516
Exeter,J01000035,Exeter 001,E02004149,11914.0,1663.3804338022878
Exeter,J01000035,Exeter 002,E02004150,7058.0,2363.1928712590516
Exeter,J01000035,Exeter 003,E02004151,9590.0,2595.2745670846884
Exeter,J01000035,Exeter 004,E02004152,10262.0,9880.664312838699
Exeter,J01000035,Exeter 005,E02004153,7497.0,2240.603801288137
Exeter,J01000035,Exeter 006,E02004154,8640.0,7945.730872855003
Exeter,J01000035,Exeter 007,E02004155,7538.0,4743.846792271937
Exeter,J01000035,Exeter 008,E02004156,12645.0,6607.207187660436
Exeter,J01000035,Exeter 009,E02004157,6712.0,4661.970008473032
Exeter,J01000035,Exeter 010,E02004158,8151.0,7733.671068911217
Exeter,J01000035,Exeter 011,E02004159,12666.0,1764.6315178656082
Exeter,J01000035,Exeter 012,E02004160,7217.0,2495.7218154241796
Exeter,J01000035,Exeter 013,E02004161,8366.0,4637.827590769573
Exeter,J01000035,Exeter 014,E02004162,7259.0,1437.812587819554
Leeds,J01000051,Leeds 012,E02002341,7291.0,544.3487922810451
Leeds,J01000051,Leeds 013,E02002342,5550.0,1833.490559618733
Leeds,J01000051,Leeds 015,E02002344,7572.0,4049.625114825653
Leeds,J01000051,Leeds 016,E02002345,5701.0,1077.8463409876408
Leeds,J01000051,Leeds 017,E02002346,5864.0,3992.379579404568
Leeds,J01000051,Leeds 018,E02002347,6320.0,3360.67889399189
Leeds,J01000051,Leeds 019,E02002348,6214.0,2617.3565461709054
Leeds,J01000051,Leeds 020,E02002349,5779.0,1247.2811664996834
Leeds,J01000051,Leeds 023,E02002352,7389.0,4593.945443012095
Leeds,J01000051,Leeds 024,E02002353,5908.0,4711.922655545577
Leeds,J01000051,Leeds 025,E02002354,7685.0,3858.681133070947
Leeds,J01000051,Leeds 029,E02002358,7888.0,2663.4921121109587
Leeds,J01000051,Leeds 031,E02002360,6689.0,4106.005286436798
Leeds,J01000051,Leeds 032,E02002361,5856.0,3048.70240183577
Leeds,J01000051,Leeds 033,E02002362,7773.0,3048.341312905738
Leeds,J01000051,Leeds 034,E02002363,6826.0,4799.009936969939
Leeds,J01000051,Leeds 035,E02002364,5680.0,3587.3366701338073
Leeds,J01000051,Leeds 037,E02002366,8121.0,3540.378488764316
Leeds,J01000051,Leeds 038,E02002367,6178.0,3454.0946937447598
Leeds,J01000051,Leeds 040,E02002369,7384.0,4309.894960844363
Leeds,J01000051,Leeds 041,E02002370,7111.0,3588.1401392093553
Leeds,J01000051,Leeds 042,E02002371,10293.0,5836.6378319905825
