CityCode,CityName,LTLACode,LTLAName,UTLACode,UTLAName,RegionCode,RegionName,MSOACode,MSOAName
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001935,Birmingham 109
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001936,Birmingham 110
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001937,Birmingham 111
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001938,Birmingham 112
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001939,Birmingham 113
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001941,Birmingham 115
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001942,Birmingham 116
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001943,Birmingham 117
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001944,Birmingham 118
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001945,Birmingham 119
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001946,Birmingham 120
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001947,Birmingham 121
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001948,Birmingham 122
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001949,Birmingham 123
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001950,Birmingham 124
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001951,Birmingham 125
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001952,Birmingham 126
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001953,Birmingham 127
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001954,Birmingham 128
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001955,Birmingham 129
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001956,Birmingham 130
