CityName,CityCode,MSOAName,MSOACode,BuildingNum,Area,BuildingDensity
Bradford,J01000013,Bradford 033,E02002215,104,1.0941314237518298,95.05256657685504
Bradford,J01000013,Bradford 034,E02002216,76,1.75071631707764,43.41080234338707
Bradford,J01000013,Bradford 035,E02002217,52,1.98188456100464,26.23765330390414
Bradford,J01000013,Bradford 036,E02002218,264,3.23100020147705,81.70844430133819
Bradford,J01000013,Bradford 037,E02002219,75,0.780426870056152,96.10125288818378
Bradford,J01000013,Bradford 038,E02002220,55,1.33998493275452,41.04523764079949
Bradford,J01000013,Bradford 039,E02002221,536,3.03979274917603,176.32781055395597
Bradford,J01000013,Bradford 040,E02002222,82,1.7798977232208302,46.07006286384599
Bradford,J01000013,Bradford 041,E02002223,144,2.06790649989319,69.6356435880625
Bradford,J01000013,Bradford 042,E02002224,22,1.03466397380066,21.26294193774505
Bradford,J01000013,Bradford 044,E02002226,154,1.8209471729583704,84.57137158449608
Bradford,J01000013,Bradford 045,E02002227,363,2.16197879193115,167.90173953360411
Bradford,J01000013,Bradford 046,E02002228,321,2.52104753102112,127.32802378778749
Bradford,J01000013,Bradford 047,E02002229,22,3.91377042771912,5.621177942422452
Bradford,J01000013,Bradford 048,E02002230,76,1.43135265161133,53.096628503425634
Bradford,J01000013,Bradford 049,E02002231,577,2.74992306518555,209.8240519180005
Bradford,J01000013,Bradford 050,E02002232,237,1.05766883711243,224.077699638991
Bradford,J01000013,Bradford 051,E02002233,80,0.863435340042114,92.653145279064
Bradford,J01000013,Bradford 052,E02002234,17,1.63187592633057,10.417458659511045
Bradford,J01000013,Bradford 053,E02002235,78,1.63512510957336,47.702771820531765
Bradford,J01000013,Bradford 054,E02002236,1069,1.16587078924561,916.9112133701444
Bradford,J01000013,Bradford 055,E02002237,1274,1.44517417953491,881.5546375247324
Bradford,J01000013,Bradford 056,E02002238,1059,1.0969631357116698,965.392514592534
Bradford,J01000013,Bradford 057,E02002239,225,12.262229874939,18.349028055643043
Bradford,J01000013,Bradford 058,E02002240,992,7.24380109837341,136.94467676959724
Bradford,J01000013,Bradford 059,E02002241,1948,2.75483766590881,707.1197058565564
Bradford,J01000013,Bradford 060,E02002242,1109,3.8343602847137497,289.2268638451098
Bradford,J01000013,Bradford 061,E02002243,227,5.614035034637451,40.43437538231528
Bradford,J01000013,Kirklees 001,E02002271,954,6.71587813735962,142.05141613469922
Bradford,J01000013,Kirklees 003,E02002273,1099,7.688165615982061,142.94697264525792
Brighton & Hove,J01000014,Brighton and Hove 001,E02003491,547,3.17935151351166,172.04766370605782
Brighton & Hove,J01000014,Brighton and Hove 002,E02003492,2239,6.02890424607849,371.37760173523424
Brighton & Hove,J01000014,Brighton and Hove 003,E02003493,557,10.2642415475769,54.26606509776576
Brighton & Hove,J01000014,Brighton and Hove 004,E02003494,567,1.68690260542679,336.11899002109124
Brighton & Hove,J01000014,Brighton and Hove 006,E02003496,767,5.70667930352783,134.40390798302715
Brighton & Hove,J01000014,Brighton and Hove 007,E02003497,125,2.38553791836548,52.39908325818914
Brighton & Hove,J01000014,Brighton and Hove 008,E02003498,2394,3.59015142448807,666.824241359504
Brighton & Hove,J01000014,Brighton and Hove 009,E02003499,2494,3.0656629353714,813.5271399945526
Brighton & Hove,J01000014,Brighton and Hove 010,E02003500,2816,0.696452768856049,4043.346693308996
Brighton & Hove,J01000014,Brighton and Hove 011,E02003501,731,1.8441576072464,396.38694498106975
Brighton & Hove,J01000014,Brighton and Hove 013,E02003503,389,1.91204846113968,203.44672632833576
Brighton & Hove,J01000014,Brighton and Hove 014,E02003504,1596,1.15283117949295,1384.4177954156037
Brighton & Hove,J01000014,Brighton and Hove 015,E02003505,874,0.58317451209259,1498.6937561174416
Brighton & Hove,J01000014,Brighton and Hove 016,E02003506,257,0.746685491634369,344.1877509063022
Brighton & Hove,J01000014,Brighton and Hove 018,E02003508,936,0.860290873733521,1088.0041025402418
Brighton & Hove,J01000014,Brighton and Hove 019,E02003509,436,0.740548788131714,588.7525669982638
Brighton & Hove,J01000014,Brighton and Hove 020,E02003510,307,0.816640619365692,375.9303575157156
Brighton & Hove,J01000014,Brighton and Hove 021,E02003511,2077,1.60433738513947,1294.615471308387
Brighton & Hove,J01000014,Brighton and Hove 022,E02003512,580,0.4704653606300349,1232.8219004759014
Brighton & Hove,J01000014,Brighton and Hove 023,E02003513,441,0.80629604253006,546.9455097611481
Brighton & Hove,J01000014,Brighton and Hove 024,E02003514,694,0.454255543403625,1527.7744214193376
Brighton & Hove,J01000014,Brighton and Hove 025,E02003515,977,3.6425495404892,268.2187267846431
Brighton & Hove,J01000014,Brighton and Hove 026,E02003516,384,0.4696482759475709,817.6331515861197
Brighton & Hove,J01000014,Brighton and Hove 027,E02003517,2828,1.37682486426163,2054.0012556474367
Brighton & Hove,J01000014,Brighton and Hove 028,E02003518,503,0.820994232570648,612.6717826324267
Brighton & Hove,J01000014,Brighton and Hove 029,E02003519,824,0.451661941963196,1824.3733275785812
Brighton & Hove,J01000014,Brighton and Hove 030,E02003520,1063,0.647459484169006,1641.8015736758066
Brighton & Hove,J01000014,Brighton and Hove 031,E02003521,958,0.828159059192657,1156.7826124294534
Brighton & Hove,J01000014,Brighton and Hove 032,E02003522,683,2.60316087157822,262.3733352237724
Bristol,J01000015,Bristol 001,E02003012,5031,3.47459318524551,1447.9392929692044
Bristol,J01000015,Bristol 002,E02003013,5824,2.7617216029624903,2108.8295046657176
Bristol,J01000015,Bristol 003,E02003014,3837,10.878094014164,352.7272328225856
Bristol,J01000015,Bristol 004,E02003015,3132,1.53933509910202,2034.6446994076011
Bristol,J01000015,Bristol 005,E02003016,3974,1.07412476879501,3699.756411406628
Bristol,J01000015,Bristol 006,E02003017,3279,1.37902750291061,2377.762584922534
Bristol,J01000015,Bristol 007,E02003018,3056,2.72348802367783,1122.090485961874
Bristol,J01000015,Bristol 008,E02003019,4987,7.506387372158049,664.3675249824287
Bristol,J01000015,Bristol 009,E02003020,3266,2.53296683583069,1289.3970634751363
Bristol,J01000015,Bristol 010,E02003021,3199,1.07162952080536,2985.173455837481
Bristol,J01000015,Bristol 011,E02003022,3322,1.27842001237869,2598.520023023518
Bristol,J01000015,Bristol 012,E02003023,3276,2.55720988892365,1281.0837366888543
Bristol,J01000015,Bristol 013,E02003024,4611,1.7310171702690098,2663.751740419435
Bristol,J01000015,Bristol 014,E02003025,3936,3.20519545985413,1228.0062321625555
Bristol,J01000015,Bristol 015,E02003026,3463,4.538488324451451,763.029394907292
Bristol,J01000015,Bristol 016,E02003027,4645,1.53465068592834,3026.747417240523
Bristol,J01000015,Bristol 017,E02003028,3023,1.26424832318115,2391.1441641412757
Bristol,J01000015,Bristol 018,E02003029,3144,1.0077388120575,3119.856020610039
Bristol,J01000015,Bristol 019,E02003030,3050,1.73270259955215,1760.2559151168416
Bristol,J01000015,Bristol 020,E02003031,3330,1.22595640735626,2716.246662620777
Bristol,J01000015,Bristol 021,E02003032,3449,1.70271546299362,2025.5879945649635
Bristol,J01000015,Bristol 022,E02003033,2114,0.7770513937873841,2720.5407736240804
