CityName,CityCode,Date,NewCasesBySpecimenDateRollingSum
Bristol,J01000015,2022-04-02,4251
Bristol,J01000015,2022-04-09,2367
Bristol,J01000015,2022-04-16,1558
Bristol,J01000015,2022-04-23,1091
Bristol,J01000015,2022-04-30,701
Bristol,J01000015,2022-05-07,672
Bristol,J01000015,2022-05-14,505
Bristol,J01000015,2022-05-21,400
Bristol,J01000015,2022-05-28,316
Bristol,J01000015,2022-06-04,449
Bristol,J01000015,2022-06-11,678
Bristol,J01000015,2022-06-18,941
Bristol,J01000015,2022-06-25,1344
Bristol,J01000015,2022-07-02,1906
Bristol,J01000015,2022-07-09,1976
Bristol,J01000015,2022-07-16,1511
Bristol,J01000015,2022-07-23,893
Bristol,J01000015,2022-07-30,533
Bristol,J01000015,2022-08-06,435
Bristol,J01000015,2022-08-13,302
Bristol,J01000015,2022-08-20,276
Bristol,J01000015,2022-08-27,248
Bristol,J01000015,2022-09-03,245
Bristol,J01000015,2022-09-10,153
Bristol,J01000015,2022-09-17,157
Bristol,J01000015,2022-09-24,359
Bristol,J01000015,2022-10-01,465
Bristol,J01000015,2022-10-08,546
Bristol,J01000015,2022-10-15,549
Bristol,J01000015,2022-10-22,431
Bristol,J01000015,2022-10-29,231
Bristol,J01000015,2022-11-05,194
Bristol,J01000015,2022-11-12,202
Cambridge,J01000019,2020-03-28,10
Cambridge,J01000019,2020-04-04,10
Cambridge,J01000019,2020-04-11,44
Cambridge,J01000019,2020-04-18,31
Cambridge,J01000019,2020-04-25,42
Cambridge,J01000019,2020-05-02,38
Cambridge,J01000019,2020-05-09,37
Cambridge,J01000019,2020-05-16,16
Cambridge,J01000019,2020-05-23,6
Cambridge,J01000019,2020-05-30,3
Cambridge,J01000019,2020-07-11,3
Cambridge,J01000019,2020-07-25,6
Cambridge,J01000019,2020-08-08,3
Cambridge,J01000019,2020-08-15,13
Cambridge,J01000019,2020-08-29,13
Cambridge,J01000019,2020-09-05,15
Cambridge,J01000019,2020-09-12,10
Cambridge,J01000019,2020-09-19,3
Cambridge,J01000019,2020-09-26,7
Cambridge,J01000019,2020-10-03,32
Cambridge,J01000019,2020-10-10,92
Cambridge,J01000019,2020-10-17,147
Cambridge,J01000019,2020-10-24,251
Cambridge,J01000019,2020-10-31,202
Cambridge,J01000019,2020-11-07,186
Cambridge,J01000019,2020-11-14,404
Cambridge,J01000019,2020-11-21,180
Cambridge,J01000019,2020-11-28,115
Cambridge,J01000019,2020-12-05,114
Cambridge,J01000019,2020-12-12,190
Cambridge,J01000019,2020-12-19,317
Cambridge,J01000019,2020-12-26,487
Cambridge,J01000019,2021-01-02,834
Cambridge,J01000019,2021-01-09,767
