CityName,CityCode,MSOAName,MSOACode,WindSpeed,Time
Birmingham,J01000007,Birmingham 016,E02001842,3.645141200804469,2019-12
Birmingham,J01000007,Birmingham 016,E02001842,3.8827422302022683,2020-01
Birmingham,J01000007,Birmingham 016,E02001842,5.297951778186942,2020-02
Birmingham,J01000007,Birmingham 016,E02001842,4.052756434386638,2020-03
Birmingham,J01000007,Birmingham 016,E02001842,3.0412628344859725,2020-04
Birmingham,J01000007,Birmingham 016,E02001842,2.8839081356239187,2020-05
Birmingham,J01000007,Birmingham 016,E02001842,3.0254155167612806,2020-06
Birmingham,J01000007,Birmingham 016,E02001842,3.081877113607958,2020-07
Birmingham,J01000007,Birmingham 016,E02001842,3.224051570235791,2020-08
Birmingham,J01000007,Birmingham 016,E02001842,2.8279060326265566,2020-09
Birmingham,J01000007,Birmingham 016,E02001842,3.3735622128698624,2020-10
Birmingham,J01000007,Birmingham 016,E02001842,3.3751296141884595,2020-11
Birmingham,J01000007,Birmingham 016,E02001842,3.465068036854713,2020-12
Birmingham,J01000007,Birmingham 016,E02001842,3.147198834077792,2021-01
Birmingham,J01000007,Birmingham 016,E02001842,4.10563824519323,2021-02
Birmingham,J01000007,Birmingham 016,E02001842,3.721732776978864,2021-03
Birmingham,J01000007,Birmingham 016,E02001842,2.723477539907484,2021-04
Birmingham,J01000007,Birmingham 016,E02001842,3.072993446702592,2021-05
Birmingham,J01000007,Birmingham 016,E02001842,2.6564868097625736,2021-06
Birmingham,J01000007,Birmingham 016,E02001842,2.273593742515256,2021-07
Birmingham,J01000007,Birmingham 016,E02001842,2.6274713937762173,2021-08
Birmingham,J01000007,Birmingham 016,E02001842,2.3682650697651666,2021-09
Birmingham,J01000007,Birmingham 016,E02001842,3.396456254126729,2021-10
Birmingham,J01000007,Birmingham 016,E02001842,3.0781810167813983,2021-11
Birmingham,J01000007,Birmingham 016,E02001842,3.4887240720803407,2021-12
Birmingham,J01000007,Birmingham 017,E02001843,3.189861220893656,2019-01
Birmingham,J01000007,Birmingham 017,E02001843,3.4458018240511628,2019-02
Birmingham,J01000007,Birmingham 017,E02001843,4.349609912892438,2019-03
Birmingham,J01000007,Birmingham 017,E02001843,3.3006155423914487,2019-04
Birmingham,J01000007,Birmingham 017,E02001843,2.6717442561116576,2019-05
Birmingham,J01000007,Birmingham 017,E02001843,3.0690244645782068,2019-06
Birmingham,J01000007,Birmingham 017,E02001843,2.553569936840522,2019-07
Birmingham,J01000007,Birmingham 017,E02001843,3.0522252490355326,2019-08
Birmingham,J01000007,Birmingham 017,E02001843,2.809950205330084,2019-09
Birmingham,J01000007,Birmingham 017,E02001843,2.978465199975501,2019-10
Birmingham,J01000007,Birmingham 017,E02001843,3.052046746151328,2019-11
Birmingham,J01000007,Birmingham 017,E02001843,3.6552346516747667,2019-12
Birmingham,J01000007,Birmingham 017,E02001843,3.89582288641262,2020-01
Birmingham,J01000007,Birmingham 017,E02001843,5.276614939643052,2020-02
Birmingham,J01000007,Birmingham 017,E02001843,4.056484217720232,2020-03
Birmingham,J01000007,Birmingham 017,E02001843,3.02580432756167,2020-04
Birmingham,J01000007,Birmingham 017,E02001843,2.8888929436622184,2020-05
Birmingham,J01000007,Birmingham 017,E02001843,3.039145083043484,2020-06
Birmingham,J01000007,Birmingham 017,E02001843,3.0876705895367937,2020-07
Birmingham,J01000007,Birmingham 017,E02001843,3.2656716741548597,2020-08
Birmingham,J01000007,Birmingham 017,E02001843,2.84205750312224,2020-09
Birmingham,J01000007,Birmingham 017,E02001843,3.3917656549115236,2020-10
Birmingham,J01000007,Birmingham 017,E02001843,3.368528385175145,2020-11
Birmingham,J01000007,Birmingham 017,E02001843,3.4825722002905675,2020-12
Birmingham,J01000007,Birmingham 017,E02001843,3.141036454439028,2021-01
Birmingham,J01000007,Birmingham 017,E02001843,4.113483476265262,2021-02
Birmingham,J01000007,Birmingham 017,E02001843,3.73857968199834,2021-03
Birmingham,J01000007,Birmingham 017,E02001843,2.7169841682537736,2021-04
Birmingham,J01000007,Birmingham 017,E02001843,3.101763566774227,2021-05
Birmingham,J01000007,Birmingham 017,E02001843,2.67780409884084,2021-06
Birmingham,J01000007,Birmingham 017,E02001843,2.299925972218175,2021-07
Birmingham,J01000007,Birmingham 017,E02001843,2.65813557430953,2021-08
Birmingham,J01000007,Birmingham 017,E02001843,2.374923622991826,2021-09
Birmingham,J01000007,Birmingham 017,E02001843,3.4077529128224646,2021-10
Birmingham,J01000007,Birmingham 017,E02001843,3.0768173752030377,2021-11
Birmingham,J01000007,Birmingham 017,E02001843,3.479395947711432,2021-12
Birmingham,J01000007,Birmingham 019,E02001845,3.0221721907859624,2019-01
Birmingham,J01000007,Birmingham 019,E02001845,3.2839434311325397,2019-02
Birmingham,J01000007,Birmingham 019,E02001845,4.148543092851264,2019-03
Birmingham,J01000007,Birmingham 019,E02001845,3.1761962811433384,2019-04
Birmingham,J01000007,Birmingham 019,E02001845,2.5605149076249125,2019-05
Birmingham,J01000007,Birmingham 019,E02001845,2.930485804315017,2019-06
Birmingham,J01000007,Birmingham 019,E02001845,2.4613067656463663,2019-07
Birmingham,J01000007,Birmingham 019,E02001845,2.9170135534493085,2019-08
Birmingham,J01000007,Birmingham 019,E02001845,2.6693327240266265,2019-09
