CityName,CityCode,MSOAName,MSOACode,SunshineHours,Time
Birmingham,J01000007,Birmingham 014,E02001840,46.95273361307635,2019-11
Birmingham,J01000007,Birmingham 014,E02001840,54.336551362619275,2019-12
Birmingham,J01000007,Birmingham 014,E02001840,50.06137873881945,2020-01
Birmingham,J01000007,Birmingham 014,E02001840,78.35413064124087,2020-02
Birmingham,J01000007,Birmingham 014,E02001840,147.36480961375224,2020-03
Birmingham,J01000007,Birmingham 014,E02001840,233.9798657760989,2020-04
Birmingham,J01000007,Birmingham 014,E02001840,286.77925809081006,2020-05
Birmingham,J01000007,Birmingham 014,E02001840,171.92344192006527,2020-06
Birmingham,J01000007,Birmingham 014,E02001840,152.67433672738565,2020-07
Birmingham,J01000007,Birmingham 014,E02001840,143.47225736498436,2020-08
Birmingham,J01000007,Birmingham 014,E02001840,178.6628240210067,2020-09
Birmingham,J01000007,Birmingham 014,E02001840,61.745126100678775,2020-10
Birmingham,J01000007,Birmingham 014,E02001840,59.52513335275095,2020-11
Birmingham,J01000007,Birmingham 014,E02001840,48.29836612295751,2020-12
Birmingham,J01000007,Birmingham 014,E02001840,35.30133053068769,2021-01
Birmingham,J01000007,Birmingham 014,E02001840,72.0042621905744,2021-02
Birmingham,J01000007,Birmingham 014,E02001840,97.80904615344335,2021-03
Birmingham,J01000007,Birmingham 014,E02001840,210.04167686203624,2021-04
Birmingham,J01000007,Birmingham 014,E02001840,145.87811239018617,2021-05
Birmingham,J01000007,Birmingham 014,E02001840,187.91133285204077,2021-06
Birmingham,J01000007,Birmingham 014,E02001840,204.5965972586495,2021-07
Birmingham,J01000007,Birmingham 014,E02001840,106.08788781841878,2021-08
Birmingham,J01000007,Birmingham 014,E02001840,146.86646709476426,2021-09
Birmingham,J01000007,Birmingham 014,E02001840,96.16386969885349,2021-10
Birmingham,J01000007,Birmingham 014,E02001840,49.62791530950464,2021-11
Birmingham,J01000007,Birmingham 014,E02001840,23.796336317441458,2021-12
Birmingham,J01000007,Birmingham 016,E02001842,46.049794475649975,2019-01
Birmingham,J01000007,Birmingham 016,E02001842,112.38321116523339,2019-02
Birmingham,J01000007,Birmingham 016,E02001842,129.78643696956163,2019-03
Birmingham,J01000007,Birmingham 016,E02001842,156.44779355772863,2019-04
Birmingham,J01000007,Birmingham 016,E02001842,192.16301470545162,2019-05
Birmingham,J01000007,Birmingham 016,E02001842,137.52547713313785,2019-06
Birmingham,J01000007,Birmingham 016,E02001842,181.96373065444735,2019-07
Birmingham,J01000007,Birmingham 016,E02001842,198.83831833802054,2019-08
Birmingham,J01000007,Birmingham 016,E02001842,168.44842769272398,2019-09
Birmingham,J01000007,Birmingham 016,E02001842,87.7579531749608,2019-10
Birmingham,J01000007,Birmingham 016,E02001842,46.259587821706035,2019-11
Birmingham,J01000007,Birmingham 016,E02001842,54.97114690308901,2019-12
Birmingham,J01000007,Birmingham 016,E02001842,49.779572575681684,2020-01
Birmingham,J01000007,Birmingham 016,E02001842,77.5807455937542,2020-02
Birmingham,J01000007,Birmingham 016,E02001842,146.65813907742307,2020-03
Birmingham,J01000007,Birmingham 016,E02001842,232.57084591549733,2020-04
