MSOACode,MSOAName,CityCode,CityName,background,building,road,water,barren,forest,agricultural
E02001874,Birmingham 048,J01000007,Birmingham,0.5942274765658406,0.1175022799449472,0.0754979480495474,0.0043699640776439,0.123752920222527,0.0827186262593981,0.0019307848800954
E02001875,Birmingham 049,J01000007,Birmingham,0.534396330035345,0.2501796941382647,0.1153941773936107,0.0001841426976137,0.0005670875941158,0.0987680440943046,0.0005105240467451
E02001876,Birmingham 050,J01000007,Birmingham,0.5554761433698429,0.2622788635005459,0.1128208776342011,0.008651422839637,0.0077006988318351,0.0520461145864251,0.0010258792375127
E02001877,Birmingham 051,J01000007,Birmingham,0.5175596099261464,0.289602989452436,0.0862182671010389,0.0023760114397321,0.0166120848748208,0.0869990757533482,0.0006319614524774
E02001878,Birmingham 052,J01000007,Birmingham,0.611349910409753,0.1943216839605611,0.0997357963929603,0.004310180303973,0.0079929498092966,0.0799479226681569,0.0023415564552989
E02001879,Birmingham 053,J01000007,Birmingham,0.5330132629476678,0.1866088702893674,0.0925687479298977,0.0590656429408857,0.0234413814416323,0.1023681147743522,0.0029339796761965
E02001880,Birmingham 054,J01000007,Birmingham,0.6903596100983797,0.1447974802407281,0.0679961371920918,0.012542724609375,0.001172592482513,0.0808301302161961,0.002301325160716
E02001881,Birmingham 055,J01000007,Birmingham,0.6656893250570132,0.1394035030651643,0.0691994022082731,0.0008078117591108,5.342781199196171e-05,0.1152170655355288,0.0096294645629177
E02001882,Birmingham 056,J01000007,Birmingham,0.62760912506274,0.1672859618117689,0.0730258579360706,0.0011886298323476,0.0027280626350274,0.1260431172461483,0.0021192454758969
E02001883,Birmingham 057,J01000007,Birmingham,0.6483314959979242,0.1734251886639074,0.0787227003945011,0.0034184398041276,0.0037960233341372,0.0920793224195924,0.00022682938581
E02001884,Birmingham 058,J01000007,Birmingham,0.5952982894458545,0.2386048086201882,0.0626028870971473,0.0001687245118839,0.0075405527492465,0.0910931375829499,0.0046915999927294
E02001886,Birmingham 060,J01000007,Birmingham,0.5551599330656518,0.1413258237388512,0.06418937060966,0.0844770112262775,0.0052958476185287,0.1495507203458204,1.2933952102333692e-06
