Date,NOx_1,NOx_2,PM10_1,PM10_2,PM2.5_2
2019-09-12,55,28,16,No data,8
2019-09-13,106,48,25,No data,7
2019-09-14,90,44,24,No data,11
2019-09-15,55,21,18,No data,8
2019-09-16,70,41,13,No data,9
2019-09-17,100,41,23,No data,8
2019-09-18,130,No data,28,No data,No data
2019-09-19,175,No data,41,No data,13
2019-09-20,82,20,25,No data,8
2019-09-21,42,12,28,No data,10
2019-09-22,67,18,22,No data,10
2019-09-23,60,23,14,No data,6
2019-09-24,69,26,9,No data,5
2019-09-25,86,39,11,No data,6
2019-09-26,51,25,14,No data,6
2019-09-27,50,26,17,No data,6
2019-09-28,38,16,12,No data,5
2019-09-29,40,16,6,No data,5
2019-09-30,90,38,13,No data,6
2019-10-01,66,40,15,No data,5
2019-10-02,151,75,22,No data,7
2019-10-03,130,43,22,No data,11
2019-10-04,87,54,24,No data,8
2019-10-05,55,20,16,No data,7
2019-10-06,64,20,15,No data,7
2019-10-07,86,23,18,No data,7
2019-10-08,60,35,26,No data,7
2019-10-09,70,41,20,No data,7
2019-10-10,49,30,18,No data,6
2019-10-11,54,40,15,No data,5
2019-10-12,No data,23,18,No data,7
2019-10-13,No data,21,10,No data,6
2019-10-14,No data,26,13,No data,5
2019-10-15,109,55,19,No data,10
2019-10-16,103,52,21,No data,8
2019-10-17,101,28,19,No data,7
2019-10-18,57,37,12,No data,6
2019-10-19,83,44,18,No data,9
2019-10-20,45,28,14,No data,7
2019-10-21,56,46,17,No data,8
2019-10-22,125,74,24,No data,14
2019-10-23,149,40,28,No data,14
2019-10-24,123,80,27,No data,18
2019-10-25,65,26,16,No data,6
2019-10-26,77,49,10,No data,7
2019-10-27,99,42,21,No data,9
2019-10-28,114,80,27,No data,15
2019-10-29,80,48,20,No data,11
2019-10-30,96,21,21,No data,9
2019-10-31,106,32,36,No data,23
2019-11-01,89,34,15,No data,13
2019-11-02,54,22,16,No data,8
2019-11-03,85,29,23,No data,14
2019-11-04,105,38,21,No data,12
2019-11-05,51,38,19,No data,14
2019-11-06,174,76,40,No data,33
2019-11-07,149,85,14,No data,12
2019-11-08,103,54,17,No data,10
2019-11-09,98,46,15,No data,14
2019-11-10,74,41,17,No data,10
2019-11-11,78,32,13,No data,9
2019-11-12,86,36,15,No data,8
2019-11-13,120,59,21,No data,9
2019-11-14,42,45,8,No data,9
2019-11-15,47,48,14,No data,12
2019-11-16,140,75,32,No data,22
2019-11-17,86,47,22,No data,20
2019-11-18,201,112,30,No data,17
2019-11-19,205,90,35,No data,23
2019-11-20,84,34,23,No data,15
2019-11-21,57,23,27,No data,25
2019-11-22,59,20,15,No data,14
2019-11-23,53,30,22,No data,20
2019-11-24,116,43,36,No data,26
2019-11-25,88,22,16,No data,14
2019-11-26,100,23,18,No data,9
2019-11-27,106,45,20,No data,7
2019-11-28,99,48,15,No data,4
2019-11-29,293,158,32,No data,12
2019-11-30,152,119,25,No data,18
2019-12-01,164,80,23,No data,16
2019-12-02,241,163,30,No data,22
2019-12-03,173,117,23,No data,16
2019-12-04,167,105,29,No data,21
2019-12-05,68,56,20,No data,13
2019-12-06,80,41,10,No data,2
2019-12-07,61,33,16,No data,3
2019-12-08,35,18,13,No data,3
2019-12-09,128,66,29,No data,6
2019-12-10,54,23,11,No data,4
2019-12-11,110,69,15,No data,6
2019-12-12,110,38,9,No data,4
2019-12-13,81,37,16,No data,3
2019-12-14,63,28,15,No data,3
2019-12-15,38,21,6,No data,2
2019-12-16,220,73,22,No data,8
2019-12-17,236,210,35,No data,22
2019-12-18,89,22,15,No data,6
2019-12-19,65,14,15,No data,4
2019-12-20,135,59,16,No data,5
