Date,NOx_1,NOx_2,PM2.5_1,PM2.5_2,PM10_1,PM10_2
2019-04-10,No data,78,No data,9,No data,23
2019-04-11,No data,49,No data,12,No data,29
2019-04-12,No data,39,No data,11,No data,21
2019-04-13,No data,38,No data,11,No data,19
2019-04-14,No data,25,No data,9,No data,18
2019-04-15,No data,25,No data,20,No data,30
2019-04-16,No data,84,No data,29,No data,50
2019-04-17,No data,76,No data,24,No data,42
2019-04-18,No data,81,No data,34,No data,49
2019-04-19,No data,57,No data,28,No data,41
2019-04-20,No data,71,No data,33,No data,48
2019-04-21,No data,48,No data,34,No data,47
2019-04-22,No data,21,No data,27,No data,35
2019-04-23,No data,71,No data,32,No data,51
2019-04-24,No data,56,No data,31,No data,59
2019-04-25,No data,44,No data,9,No data,15
2019-04-26,No data,20,No data,6,No data,12
2019-04-27,No data,59,No data,7,No data,12
2019-04-28,No data,37,No data,9,No data,13
2019-04-29,No data,70,No data,16,No data,24
2019-04-30,No data,59,No data,21,No data,33
2019-05-01,No data,66,No data,16,No data,21
2019-05-02,No data,74,No data,8,No data,17
2019-05-03,No data,78,No data,6,No data,15
2019-05-04,No data,54,No data,4,No data,15
2019-05-05,No data,41,No data,5,No data,13
2019-05-06,No data,34,No data,3,No data,9
2019-05-07,No data,48,No data,5,No data,12
2019-05-08,No data,79,No data,11,No data,18
2019-05-09,No data,84,No data,7,No data,17
2019-05-10,No data,57,No data,7,No data,15
2019-05-11,No data,52,No data,7,No data,14
2019-05-12,No data,31,No data,5,No data,11
2019-05-13,No data,65,No data,11,No data,23
2019-05-14,No data,57,No data,19,No data,31
2019-05-15,No data,73,No data,22,No data,36
2019-05-16,No data,23,No data,11,No data,19
2019-05-17,No data,63,No data,10,No data,20
2019-05-18,No data,48,No data,8,No data,14
2019-05-19,No data,24,No data,10,No data,14
2019-05-20,No data,42,No data,9,No data,15
2019-05-21,No data,38,No data,6,No data,13
2019-05-22,No data,37,No data,4,No data,12
2019-05-23,No data,41,No data,6,No data,14
2019-05-24,No data,36,No data,6,No data,12
2019-05-25,No data,29,No data,9,No data,15
2019-05-26,No data,23,No data,8,No data,13
2019-05-27,No data,31,No data,8,No data,11
2019-05-28,No data,62,No data,7,No data,13
2019-05-29,No data,22,No data,8,No data,12
2019-05-30,No data,26,No data,9,No data,16
2019-05-31,No data,22,No data,6,No data,10
2019-06-01,No data,40,No data,9,No data,14
2019-06-02,No data,12,No data,9,No data,15
2019-06-03,No data,17,No data,10,No data,20
2019-06-04,No data,38,No data,10,No data,13
2019-06-05,No data,37,No data,7,No data,9
2019-06-06,No data,43,No data,9,No data,14
2019-06-07,No data,57,No data,11,No data,17
2019-06-08,No data,49,No data,12,No data,14
2019-06-09,No data,22,No data,8,No data,13
2019-06-10,No data,58,No data,8,No data,13
2019-06-11,No data,53,No data,6,No data,11
2019-06-12,No data,51,No data,7,No data,10
2019-06-13,No data,58,No data,7,No data,7
2019-06-14,No data,29,No data,9,No data,12
2019-06-15,No data,24,No data,10,No data,11
2019-06-16,No data,15,No data,8,No data,9
2019-06-17,No data,16,No data,10,No data,14
2019-06-18,No data,34,No data,11,No data,16
2019-06-19,No data,39,No data,9,No data,15
2019-06-20,No data,32,No data,6,No data,12
2019-06-21,No data,37,No data,8,No data,13
2019-06-22,No data,45,No data,9,No data,16
2019-06-23,No data,20,No data,11,No data,16
2019-06-24,No data,63,No data,12,No data,15
2019-06-25,No data,61,No data,11,No data,12
2019-06-26,No data,54,No data,10,No data,16
2019-06-27,No data,67,No data,10,No data,16
2019-06-28,No data,34,No data,10,No data,15
2019-06-29,No data,40,No data,17,No data,32
2019-06-30,No data,12,No data,11,No data,16
2019-07-01,No data,42,No data,9,No data,13
2019-07-02,No data,49,No data,9,No data,15
2019-07-03,No data,47,No data,No data,No data,No data
2019-07-04,No data,39,No data,No data,No data,No data
2019-07-05,No data,35,No data,No data,No data,No data
2019-07-06,No data,37,No data,No data,No data,No data
2019-07-07,No data,35,No data,No data,No data,No data
2019-07-08,No data,51,No data,No data,No data,No data
2019-07-09,No data,32,No data,No data,No data,No data
2019-07-10,No data,49,No data,12,No data,16
2019-07-11,No data,No data,No data,No data,No data,No data
2019-07-12,No data,No data,No data,6,No data,10
2019-07-13,No data,40,No data,4,No data,9
2019-07-14,No data,34,No data,3,No data,10
2019-07-15,No data,49,No data,11,No data,19
2019-07-16,No data,47,No data,12,No data,23
2019-07-17,No data,21,No data,6,No data,12
2019-07-18,No data,31,No data,5,No data,12
2019-07-19,No data,26,No data,4,No data,11
2019-07-20,No data,39,No data,4,No data,9
2019-07-21,No data,11,No data,3,No data,5
2019-07-22,No data,15,No data,7,No data,9
2019-07-23,No data,52,No data,8,No data,13
2019-07-24,No data,42,No data,12,No data,14
2019-07-25,No data,47,No data,12,No data,18
2019-07-26,No data,59,No data,11,No data,19
2019-07-27,No data,71,No data,8,No data,10
2019-07-28,No data,34,No data,13,No data,20
2019-07-29,No data,58,No data,9,No data,9
2019-07-30,No data,75,No data,14,No data,20
2019-07-31,No data,No data,No data,No data,No data,No data
2019-08-01,No data,No data,No data,No data,No data,No data
2019-08-02,No data,No data,No data,No data,No data,No data
2019-08-03,No data,No data,No data,No data,No data,No data
2019-08-04,No data,No data,No data,No data,No data,No data
2019-08-05,No data,No data,No data,No data,No data,No data
2019-08-06,No data,28,No data,8,No data,12
2019-08-07,No data,33,No data,7,No data,11
2019-08-08,No data,52,No data,7,No data,10
2019-08-09,No data,48,No data,7,No data,9
2019-08-10,No data,36,No data,6,No data,7
2019-08-11,No data,25,No data,7,No data,7
2019-08-12,No data,49,No data,6,No data,11
2019-08-13,No data,39,No data,6,No data,12
2019-08-14,No data,21,No data,5,No data,8
2019-08-15,No data,35,No data,6,No data,12
