Date,NOx_1,NOx_2,PM2.5_1,PM10_1,PM10_2
2019-08-30,21,48,5,9,17
2019-08-31,20,39,5,8,14
2019-09-01,12,31,4,8,13
2019-09-02,13,38,5,10,14
2019-09-03,7,34,4,9,12
2019-09-04,7,26,3,7,12
2019-09-05,19,No data,5,9,No data
2019-09-06,17,No data,5,11,No data
2019-09-07,13,45,5,9,13
2019-09-08,12,40,4,7,14
2019-09-09,20,46,4,8,12
2019-09-10,25,50,5,9,13
2019-09-11,6,29,5,10,14
2019-09-12,7,39,4,8,12
2019-09-13,20,50,5,9,16
2019-09-14,33,41,7,13,18
2019-09-15,19,54,8,11,17
2019-09-16,19,40,5,8,9
2019-09-17,22,45,6,11,14
2019-09-18,36,43,7,15,20
2019-09-19,23,30,6,13,19
2019-09-20,23,21,6,17,24
2019-09-21,15,18,8,19,26
2019-09-22,18,35,6,12,18
2019-09-23,11,34,4,10,14
2019-09-24,8,30,7,15,20
2019-09-25,7,32,5,10,14
2019-09-26,7,31,7,14,20
2019-09-27,6,34,7,16,24
2019-09-28,5,29,6,14,20
2019-09-29,6,24,5,11,17
2019-09-30,45,51,5,10,17
2019-10-01,16,38,6,12,17
2019-10-02,42,63,4,8,14
2019-10-03,37,34,5,10,14
2019-10-04,17,41,9,18,26
2019-10-05,18,51,8,11,16
2019-10-06,9,26,4,8,11
2019-10-07,24,53,4,8,14
2019-10-08,9,35,9,19,27
2019-10-09,8,38,4,9,14
2019-10-10,11,34,7,15,22
2019-10-11,12,32,6,11,18
2019-10-12,19,25,2,5,6
2019-10-13,20,36,5,10,14
2019-10-14,29,35,6,11,14
2019-10-15,34,66,7,12,18
2019-10-16,25,53,6,12,19
2019-10-17,33,50,4,10,14
2019-10-18,13,44,7,17,23
2019-10-19,23,57,5,10,16
2019-10-20,24,59,6,9,15
2019-10-21,26,49,5,9,20
2019-10-22,92,63,10,15,19
2019-10-23,53,61,15,23,26
2019-10-24,40,91,15,20,25
2019-10-25,24,44,6,13,20
2019-10-26,9,32,6,13,17
