Date,NOx,PM10,PM2.5
2021-11-20,20,9,4
2021-11-21,26,5,3
2021-11-22,132,13,8
2021-11-23,62,10,7
2021-11-24,48,9,5
2021-11-25,85,11,6
2021-11-26,18,9,4
2021-11-27,19,7,3
2021-11-28,89,11,8
2021-11-29,93,16,12
2021-11-30,24,10,5
2021-12-01,33,8,4
2021-12-02,71,12,6
2021-12-03,44,15,7
2021-12-04,14,8,4
2021-12-05,34,9,6
2021-12-06,29,10,5
2021-12-07,20,9,5
2021-12-08,15,10,4
2021-12-09,28,13,6
2021-12-10,39,12,6
2021-12-11,37,12,7
2021-12-12,21,4,3
2021-12-13,72,14,9
2021-12-14,62,14,11
2021-12-15,44,9,5
2021-12-16,102,19,14
2021-12-17,66,20,15
2021-12-18,55,14,12
2021-12-19,68,11,9
2021-12-20,44,15,10
2021-12-21,33,20,15
2021-12-22,39,21,17
2021-12-23,45,20,16
2021-12-24,32,9,6
2021-12-25,11,8,4
2021-12-26,27,6,5
2021-12-27,31,9,8
2021-12-28,35,7,5
2021-12-29,24,14,8
2021-12-30,22,4,2
2021-12-31,18,11,7
2022-01-01,11,16,10
2022-01-02,17,11,6
2022-01-03,15,19,9
2022-01-04,32,10,5
2022-01-05,63,16,9
2022-01-06,30,11,7
2022-01-07,35,13,6
2022-01-08,18,14,7
2022-01-09,16,21,9
2022-01-10,39,12,8
2022-01-11,88,18,11
2022-01-12,73,16,10
2022-01-13,56,12,8
2022-01-14,48,12,9
2022-01-15,64,28,19
2022-01-16,30,18,11
2022-01-17,79,18,11
2022-01-18,61,17,13
2022-01-19,28,15,8
2022-01-20,146,17,11
2022-01-21,51,11,7
2022-01-22,32,6,4
2022-01-23,29,8,6
2022-01-24,44,37,25
2022-01-25,62,53,37
2022-01-26,32,19,11
2022-01-27,26,14,7
2022-01-28,40,10,6
2022-01-29,17,20,10
2022-01-30,31,16,8
2022-01-31,18,17,8
2022-02-01,16,15,7
2022-02-02,23,16,8
2022-02-03,19,10,5
2022-02-04,17,12,5
2022-02-05,11,16,8
2022-02-06,9,12,6
2022-02-07,37,13,6
2022-02-08,20,8,4
2022-02-09,No data,11,5
2022-02-10,No data,16,7
2022-02-11,No data,12,7
2022-02-12,No data,6,4
2022-02-13,No data,5,4
2022-02-14,No data,9,4
2022-02-15,No data,18,9
2022-02-16,No data,18,9
2022-02-17,No data,14,6
2022-02-18,No data,10,5
2022-02-19,No data,9,5
2022-02-20,No data,14,7
2022-02-21,No data,29,14
2022-02-22,No data,15,8
2022-02-23,No data,11,5
2022-02-24,No data,14,6
2022-02-25,No data,20,9
2022-02-26,No data,12,7
2022-02-27,No data,12,8
2022-02-28,No data,12,9
2022-03-01,No data,12,7
2022-03-02,No data,13,11
2022-03-03,No data,25,22
2022-03-04,No data,8,5
2022-03-05,No data,7,4
2022-03-06,No data,10,6
2022-03-07,No data,15,9
2022-03-08,No data,29,21
2022-03-09,No data,14,9
2022-03-10,No data,11,7
2022-03-11,No data,13,9
2022-03-12,No data,6,3
2022-03-13,No data,7,4
2022-03-14,No data,10,5
2022-03-15,No data,15,9
2022-03-16,No data,17,12
2022-03-17,No data,15,7
2022-03-18,No data,22,11
2022-03-19,15,16,11
2022-03-20,17,30,22
2022-03-21,34,43,30
2022-03-22,33,50,36
2022-03-23,52,79,59
2022-03-24,52,55,39
2022-03-25,44,55,36
2022-03-26,25,32,21
2022-03-27,18,20,14
2022-03-28,28,28,20
2022-03-29,26,26,20
2022-03-30,18,14,10
2022-03-31,19,4,2
2022-04-01,26,7,4
2022-04-02,30,10,6
2022-04-03,19,10,7
2022-04-04,13,9,5
2022-04-05,13,14,7
2022-04-06,11,11,5
2022-04-07,14,11,5
2022-04-08,40,7,4
2022-04-09,24,9,5
2022-04-10,27,11,7
2022-04-11,19,15,9
2022-04-12,30,28,22
2022-04-13,37,21,17
2022-04-14,37,14,10
2022-04-15,25,13,9
2022-04-16,22,19,14
2022-04-17,14,18,14
2022-04-18,14,8,4
2022-04-19,31,10,5
2022-04-20,22,15,8
2022-04-21,15,16,10
2022-04-22,13,17,9
2022-04-23,12,18,11
2022-04-24,11,15,8
2022-04-25,21,13,7
2022-04-26,15,11,7
2022-04-27,18,17,8
2022-04-28,23,18,11
2022-04-29,23,21,13
2022-04-30,18,22,15
2022-05-01,22,15,12
2022-05-02,21,13,10
2022-05-03,22,14,10
2022-05-04,18,9,6
2022-05-05,18,9,5
2022-05-06,24,9,5
2022-05-07,17,9,6
2022-05-08,15,14,10
2022-05-09,15,12,7
2022-05-10,10,12,5
2022-05-11,12,8,4
2022-05-12,11,10,4
2022-05-13,12,21,10
2022-05-14,15,20,12
2022-05-15,14,21,14
2022-05-16,27,12,9
2022-05-17,14,11,6
2022-05-18,12,10,5
2022-05-19,14,10,5
2022-05-20,19,10,5
2022-05-21,11,10,5
2022-05-22,11,5,3
2022-05-23,14,6,3
2022-05-24,12,7,3
2022-05-25,12,7,3
2022-05-26,10,11,5
2022-05-27,11,15,6
2022-05-28,14,8,4
2022-05-29,12,6,3
2022-05-30,14,6,3
2022-05-31,19,5,3
2022-06-01,24,7,4
2022-06-02,19,14,10
2022-06-03,14,11,8
2022-06-04,7,9,6
2022-06-05,11,9,6
2022-06-06,27,9,6
2022-06-07,17,14,9
2022-06-08,10,8,4
2022-06-09,10,13,6
2022-06-10,6,19,9
2022-06-11,6,16,8
2022-06-12,5,15,7
2022-06-13,12,10,4
2022-06-14,25,11,5
2022-06-15,21,14,7
2022-06-16,25,12,5
2022-06-17,16,15,6
2022-06-18,11,15,7
2022-06-19,12,14,6
2022-06-20,16,9,5
2022-06-21,20,11,6
2022-06-22,18,7,3
2022-06-23,20,13,7
2022-06-24,20,14,9
2022-06-25,7,7,3
2022-06-26,6,9,4
2022-06-27,10,8,4
2022-06-28,16,11,5
2022-06-29,17,5,3
2022-06-30,17,6,4
2022-07-01,10,7,4
2022-07-02,7,6,3
2022-07-03,6,6,3
2022-07-04,7,9,3
2022-07-05,8,8,4
2022-07-06,7,9,4
2022-07-07,11,7,3
2022-07-08,11,8,5
2022-07-09,7,7,3
2022-07-10,8,5,2
2022-07-11,24,11,5
2022-07-12,20,12,6
2022-07-13,9,9,4
2022-07-14,11,9,5
2022-07-15,12,10,4
2022-07-16,13,9,5
2022-07-17,13,15,9
2022-07-18,25,19,8
2022-07-19,16,28,12
2022-07-20,8,16,7
2022-07-21,12,9,4
2022-07-22,19,11,7
2022-07-23,11,10,6
2022-07-24,4,6,3
2022-07-25,8,10,4
2022-07-26,10,8,3
2022-07-27,17,9,5
2022-07-28,19,11,6
2022-07-29,20,15,8
2022-07-30,17,7,4
2022-07-31,11,8,4
2022-08-01,16,9,4
2022-08-02,6,5,2
2022-08-03,7,10,5
2022-08-04,5,8,4
2022-08-05,6,9,5
2022-08-06,7,10,5
2022-08-07,3,10,5
2022-08-08,9,12,7
2022-08-09,7,13,7
2022-08-10,20,22,9
2022-08-11,23,21,9
2022-08-12,16,19,7
2022-08-13,12,19,8
2022-08-14,16,24,12
2022-08-15,19,20,11
2022-08-16,9,10,6
2022-08-17,8,10,4
2022-08-18,12,12,6
2022-08-19,7,15,6
2022-08-20,5,15,7
2022-08-21,7,9,4
2022-08-22,21,9,5
2022-08-23,17,9,6
2022-08-24,18,8,4
2022-08-25,24,12,5
2022-08-26,17,10,5
2022-08-27,18,13,7
2022-08-28,12,11,6
2022-08-29,6,8,5
2022-08-30,15,7,3
2022-08-31,8,8,4
