Date,NOx,PM2.5
2022-04-15,28,12
2022-04-16,17,22
2022-04-17,18,17
2022-04-18,10,16
2022-04-19,13,10
2022-04-20,13,16
2022-04-21,14,16
2022-04-22,11,18
2022-04-23,11,25
2022-04-24,8,15
2022-04-25,8,11
2022-04-26,8,9
2022-04-27,7,7
2022-04-28,7,12
2022-04-29,8,10
2022-04-30,11,10
2022-05-01,19,13
2022-05-02,17,13
2022-05-03,17,21
2022-05-04,19,17
2022-05-05,13,11
2022-05-06,18,13
2022-05-07,8,6
2022-05-08,5,9
2022-05-09,17,14
2022-05-10,11,14
2022-05-11,9,9
2022-05-12,9,8
2022-05-13,9,9
2022-05-14,10,12
2022-05-15,15,18
2022-05-16,15,12
2022-05-17,20,10
2022-05-18,10,8
2022-05-19,11,10
2022-05-20,12,11
2022-05-21,11,10
2022-05-22,25,10
2022-05-23,15,9
2022-05-24,8,6
2022-05-25,7,7
2022-05-26,7,6
2022-05-27,8,7
2022-05-28,7,6
2022-05-29,8,4
2022-05-30,9,4
2022-05-31,8,6
2022-06-01,14,6
2022-06-02,11,9
2022-06-03,10,12
2022-06-04,5,13
2022-06-05,8,15
2022-06-06,8,9
2022-06-07,11,6
2022-06-08,6,7
2022-06-09,8,9
2022-06-10,7,12
2022-06-11,7,12
2022-06-12,6,10
2022-06-13,7,7
2022-06-14,11,10
2022-06-15,20,16
2022-06-16,24,17
2022-06-17,27,18
2022-06-18,14,14
2022-06-19,6,9
2022-06-20,6,9
2022-06-21,11,11
2022-06-22,6,10
2022-06-23,17,13
2022-06-24,12,11
2022-06-25,6,9
2022-06-26,5,6
2022-06-27,7,7
2022-06-28,7,6
2022-06-29,7,7
2022-06-30,7,7
2022-07-01,6,7
2022-07-02,5,6
2022-07-03,6,6
2022-07-04,6,8
2022-07-05,14,14
2022-07-06,11,11
2022-07-07,10,9
2022-07-08,19,13
2022-07-09,13,8
2022-07-10,16,8
2022-07-11,19,10
2022-07-12,20,11
2022-07-13,18,12
2022-07-14,11,11
2022-07-15,15,9
2022-07-16,11,7
2022-07-17,11,8
2022-07-18,20,10
2022-07-19,10,17
2022-07-20,6,12
2022-07-21,8,11
2022-07-22,8,8
2022-07-23,8,7
2022-07-24,6,6
2022-07-25,7,6
2022-07-26,8,4
2022-07-27,11,5
2022-07-28,11,6
2022-07-29,17,7
2022-07-30,17,9
2022-07-31,8,6
2022-08-01,12,7
2022-08-02,8,5
2022-08-03,10,8
2022-08-04,13,7
2022-08-05,24,7
2022-08-06,34,14
2022-08-07,53,12
2022-08-08,28,9
2022-08-09,13,6
2022-08-10,7,6
2022-08-11,9,No data
2022-08-12,10,No data
2022-08-13,11,No data
2022-08-14,18,No data
2022-08-15,9,No data
2022-08-16,22,14
2022-08-17,22,14
2022-08-18,11,15
2022-08-19,9,8
2022-08-20,11,9
2022-08-21,16,10
2022-08-22,15,No data
2022-08-23,7,No data
2022-08-24,16,7
2022-08-25,13,8
2022-08-26,16,11
2022-08-27,19,10
2022-08-28,5,7
2022-08-29,4,7
2022-08-30,5,6
2022-08-31,5,7
