Date,NOx,PM2.5
2019-05-13,No data,No data
2019-05-14,8,No data
2019-05-15,12,No data
2019-05-16,11,No data
2019-05-17,12,No data
2019-05-18,28,No data
2019-05-19,24,No data
2019-05-20,30,No data
2019-05-21,22,No data
2019-05-22,31,No data
2019-05-23,32,No data
2019-05-24,16,No data
2019-05-25,13,No data
2019-05-26,10,No data
2019-05-27,8,No data
2019-05-28,12,No data
2019-05-29,13,No data
2019-05-30,10,No data
2019-05-31,11,No data
2019-06-01,23,No data
2019-06-02,15,No data
2019-06-03,7,No data
2019-06-04,20,No data
2019-06-05,10,No data
2019-06-06,7,No data
2019-06-07,12,No data
2019-06-08,4,No data
2019-06-09,12,No data
2019-06-10,15,No data
2019-06-11,10,No data
2019-06-12,24,No data
2019-06-13,7,No data
2019-06-14,6,No data
2019-06-15,11,No data
2019-06-16,7,No data
2019-06-17,9,No data
2019-06-18,18,No data
2019-06-19,18,No data
2019-06-20,7,No data
2019-06-21,12,No data
2019-06-22,18,No data
2019-06-23,9,No data
2019-06-24,29,No data
2019-06-25,14,No data
2019-06-26,6,No data
2019-06-27,3,No data
2019-06-28,6,No data
2019-06-29,14,No data
2019-06-30,6,No data
2019-07-01,7,No data
2019-07-02,10,No data
2019-07-03,5,No data
2019-07-04,12,No data
2019-07-05,24,No data
2019-07-06,13,No data
2019-07-07,8,No data
2019-07-08,12,No data
2019-07-09,9,No data
2019-07-10,22,No data
2019-07-11,20,No data
2019-07-12,8,No data
2019-07-13,12,No data
2019-07-14,6,No data
2019-07-15,6,No data
2019-07-16,16,No data
2019-07-17,17,No data
2019-07-18,7,No data
2019-07-19,13,No data
2019-07-20,7,No data
2019-07-21,9,No data
2019-07-22,9,No data
2019-07-23,15,No data
2019-07-24,19,No data
2019-07-25,21,No data
2019-07-26,11,No data
2019-07-27,9,No data
2019-07-28,5,No data
2019-07-29,13,No data
2019-07-30,5,No data
2019-07-31,6,No data
2019-08-01,17,No data
2019-08-02,27,No data
2019-08-03,30,No data
2019-08-04,29,No data
2019-08-05,14,No data
2019-08-06,No data,No data
2019-08-07,No data,No data
2019-08-08,11,No data
2019-08-09,8,No data
2019-08-10,2,No data
2019-08-11,3,No data
2019-08-12,16,No data
2019-08-13,16,No data
2019-08-14,5,No data
2019-08-15,7,No data
2019-08-16,8,No data
2019-08-17,8,No data
2019-08-18,7,No data
2019-08-19,5,No data
