Date,PM2.5_1,PM10_1,PM10_2,NOx_1,NOx_2
2020-02-19,8,13,12,31,56
2020-02-20,5,7,7,23,35
2020-02-21,8,14,14,18,39
2020-02-22,6,9,9,14,20
2020-02-23,5,8,8,19,32
2020-02-24,4,6,No data,24,34
2020-02-25,5,8,No data,22,50
2020-02-26,6,12,No data,33,60
2020-02-27,7,12,No data,37,64
2020-02-28,6,10,7,46,49
2020-02-29,5,9,8,15,30
2020-03-01,6,11,13,13,31
2020-03-02,No data,No data,19,No data,117
2020-03-03,No data,No data,17,No data,70
2020-03-04,12,21,19,75,100
2020-03-05,13,19,24,35,72
2020-03-06,18,28,37,72,146
2020-03-07,9,15,19,26,42
2020-03-08,4,7,11,14,30
2020-03-09,6,10,11,21,45
2020-03-10,4,7,10,18,33
2020-03-11,6,12,14,22,53
2020-03-12,6,16,12,16,35
2020-03-13,6,11,12,34,48
2020-03-14,7,10,10,25,26
2020-03-15,5,8,10,19,44
2020-03-16,8,15,16,33,77
2020-03-17,5,9,11,19,42
2020-03-18,6,9,11,46,74
2020-03-19,8,15,18,36,60
2020-03-20,7,13,15,19,30
2020-03-21,7,14,13,17,11
2020-03-22,10,17,15,16,16
2020-03-23,12,21,20,33,38
2020-03-24,19,32,27,34,48
2020-03-25,21,32,30,28,56
2020-03-26,28,39,36,24,49
2020-03-27,33,44,42,17,29
2020-03-28,11,19,19,7,11
2020-03-29,6,14,14,8,10
2020-03-30,5,10,16,17,33
2020-03-31,9,14,18,16,37
2020-04-01,9,14,16,19,38
2020-04-02,7,12,13,10,23
2020-04-03,9,17,17,18,45
2020-04-04,10,15,16,23,39
2020-04-05,16,24,19,14,14
2020-04-06,6,11,14,11,24
2020-04-07,10,18,22,36,55
2020-04-08,13,23,26,30,52
2020-04-09,13,20,21,12,24
2020-04-10,18,26,26,13,13
2020-04-11,21,30,29,15,29
2020-04-12,12,17,17,11,16
2020-04-13,8,17,18,6,10
2020-04-14,11,20,24,13,50
2020-04-15,16,27,30,28,59
2020-04-16,27,40,37,24,36
2020-04-17,8,15,22,8,10
2020-04-18,7,14,17,10,21
2020-04-19,7,14,17,8,13
2020-04-20,8,19,21,9,15
2020-04-21,11,24,26,9,15
2020-04-22,14,29,32,11,20
2020-04-23,11,24,31,14,27
2020-04-24,12,19,19,12,28
2020-04-25,12,18,15,11,16
2020-04-26,19,26,24,14,24
2020-04-27,6,12,13,12,33
2020-04-28,4,7,6,12,17
2020-04-29,6,9,9,19,19
2020-04-30,3,6,6,10,20
2020-05-01,4,7,8,11,33
2020-05-02,7,10,12,12,30
2020-05-03,16,20,18,21,30
2020-05-04,13,17,19,12,31
2020-05-05,5,10,9,11,11
2020-05-06,8,13,13,12,21
2020-05-07,14,23,24,25,49
2020-05-08,15,22,26,27,40
2020-05-09,14,19,19,15,24
2020-05-10,9,15,15,6,12
2020-05-11,5,11,13,13,30
2020-05-12,7,13,12,19,42
2020-05-13,4,8,10,12,34
2020-05-14,5,11,12,15,42
2020-05-15,5,11,11,13,40
2020-05-16,6,10,11,10,25
2020-05-17,8,13,16,8,17
2020-05-18,8,14,16,8,23
2020-05-19,5,10,13,12,30
2020-05-20,8,16,16,15,33
2020-05-21,8,16,15,18,35
2020-05-22,8,23,22,7,18
2020-05-23,7,14,16,5,12
2020-05-24,9,14,16,7,18
2020-05-25,6,11,12,12,27
2020-05-26,5,11,14,12,33
2020-05-27,7,15,16,12,34
2020-05-28,6,12,10,9,12
2020-05-29,5,11,9,11,12
2020-05-30,7,14,16,8,10
2020-05-31,7,13,14,7,9
2020-06-01,5,13,14,9,24
2020-06-02,6,15,16,14,41
2020-06-03,5,9,11,13,36
2020-06-04,5,9,9,13,37
2020-06-05,3,9,9,10,27
2020-06-06,3,6,8,9,20
2020-06-07,5,7,9,11,23
2020-06-08,8,14,14,15,38
2020-06-09,9,18,14,19,31
2020-06-10,13,17,17,21,41
2020-06-11,8,12,15,9,29
2020-06-12,11,14,17,10,36
2020-06-13,14,19,21,13,16
2020-06-14,13,16,18,13,24
2020-06-15,11,15,17,18,45
2020-06-16,12,16,17,16,35
2020-06-17,17,22,25,19,43
2020-06-18,9,12,15,20,46
2020-06-19,6,10,11,16,32
2020-06-20,5,9,9,13,25
2020-06-21,5,10,10,8,19
2020-06-22,7,15,16,13,40
2020-06-23,7,15,16,16,30
2020-06-24,12,23,27,21,20
2020-06-25,10,20,25,16,20
2020-06-26,13,24,23,18,37
2020-06-27,4,8,9,10,18
2020-06-28,4,8,9,5,13
2020-06-29,4,10,10,9,26
2020-06-30,6,12,13,13,36
2020-07-01,3,7,9,17,41
2020-07-02,5,9,10,23,44
2020-07-03,4,9,11,13,36
2020-07-04,2,4,5,11,23
2020-07-05,4,8,8,4,9
2020-07-06,5,12,11,15,31
2020-07-07,5,9,12,20,47
2020-07-08,4,7,8,22,30
2020-07-09,2,4,7,19,45
2020-07-10,4,8,12,22,42
2020-07-11,4,8,11,21,30
2020-07-12,4,8,11,16,38
2020-07-13,3,8,11,17,40
2020-07-14,4,8,10,18,35
2020-07-15,4,8,10,18,40
2020-07-16,4,8,11,21,37
2020-07-17,5,14,16,15,37
2020-07-18,4,8,9,14,24
2020-07-19,4,8,11,13,22
2020-07-20,5,11,15,23,41
2020-07-21,6,14,17,26,61
