Date,PM2.5,PM10,NOx
2019-11-25,8,10,42
2019-11-26,7,11,41
2019-11-27,11,16,74
2019-11-28,5,9,86
2019-11-29,13,20,265
2019-11-30,10,13,78
2019-12-01,13,16,132
2019-12-02,25,33,305
2019-12-03,13,20,163
2019-12-04,14,19,50
2019-12-05,5,10,26
2019-12-06,3,7,21
2019-12-07,5,9,19
2019-12-08,6,12,11
2019-12-09,8,16,81
2019-12-10,6,12,18
2019-12-11,6,12,35
2019-12-12,5,9,41
2019-12-13,6,11,25
2019-12-14,6,13,15
2019-12-15,3,6,17
2019-12-16,7,14,60
2019-12-17,18,23,173
2019-12-18,8,11,76
2019-12-19,5,8,26
2019-12-20,7,11,47
2019-12-21,7,9,40
2019-12-22,8,11,37
2019-12-23,7,14,24
2019-12-24,5,8,34
2019-12-25,9,15,27
2019-12-26,10,12,36
2019-12-27,14,16,113
2019-12-28,10,13,23
2019-12-29,12,15,19
2019-12-30,17,22,107
2019-12-31,10,13,63
2020-01-01,22,26,20
2020-01-02,7,9,18
2020-01-03,7,15,36
2020-01-04,5,10,17
2020-01-05,3,5,13
2020-01-06,6,11,19
2020-01-07,6,12,18
2020-01-08,13,26,35
2020-01-09,4,8,34
2020-01-10,7,13,82
2020-01-11,2,5,11
2020-01-12,3,6,18
2020-01-13,5,10,19
2020-01-14,5,9,19
2020-01-15,6,13,22
2020-01-16,6,11,20
2020-01-17,7,12,41
2020-01-18,11,20,63
2020-01-19,19,21,104
2020-01-20,16,21,132
2020-01-21,17,24,128
2020-01-22,17,20,60
2020-01-23,18,22,73
2020-01-24,10,14,41
2020-01-25,15,20,23
2020-01-26,12,17,27
2020-01-27,5,9,33
2020-01-28,5,10,22
2020-01-29,7,14,19
2020-01-30,6,11,21
2020-01-31,4,8,20
2020-02-01,9,16,14
2020-02-02,8,13,19
2020-02-03,8,17,13
2020-02-04,10,20,34
2020-02-05,19,30,208
2020-02-06,23,33,287
2020-02-07,23,33,107
2020-02-08,7,13,14
2020-02-09,4,8,6
2020-02-10,7,16,12
2020-02-11,8,18,9
2020-02-12,7,14,24
2020-02-13,6,10,69
2020-02-14,12,18,60
2020-02-15,5,8,14
2020-02-16,5,10,10
2020-02-17,7,14,14
2020-02-18,6,13,19
2020-02-19,7,14,22
2020-02-20,4,9,16
2020-02-21,6,12,16
2020-02-22,4,8,10
2020-02-23,5,10,19
2020-02-24,4,8,17
2020-02-25,5,12,23
2020-02-26,5,12,26
2020-02-27,6,12,42
2020-02-28,4,6,29
2020-02-29,4,8,11
2020-03-01,6,12,12
2020-03-02,6,13,47
2020-03-03,7,14,34
2020-03-04,11,18,98
2020-03-05,19,30,85
2020-03-06,18,27,98
2020-03-07,8,13,17
2020-03-08,4,8,12
2020-03-09,8,15,15
2020-03-10,5,9,17
2020-03-11,5,11,21
2020-03-12,6,14,12
2020-03-13,6,12,25
2020-03-14,5,8,15
2020-03-15,4,9,10
2020-03-16,7,15,19
2020-03-17,3,9,14
2020-03-18,6,13,29
2020-03-19,11,21,58
2020-03-20,7,14,26
2020-03-21,7,15,12
2020-03-22,12,19,17
2020-03-23,14,27,38
2020-03-24,25,39,26
2020-03-25,24,39,46
2020-03-26,33,47,57
2020-03-27,32,43,33
2020-03-28,9,17,11
2020-03-29,6,12,11
2020-03-30,7,14,33
2020-03-31,7,12,21
2020-04-01,6,13,18
2020-04-02,9,17,11
2020-04-03,7,14,16
2020-04-04,8,13,14
2020-04-05,10,21,14
2020-04-06,7,14,16
2020-04-07,12,21,47
2020-04-08,13,23,36
2020-04-09,13,21,25
2020-04-10,28,37,23
2020-04-11,24,31,22
2020-04-12,15,19,20
2020-04-13,9,17,13
2020-04-14,14,24,29
2020-04-15,21,33,45
2020-04-16,20,33,34
2020-04-17,13,23,12
2020-04-18,8,15,13
2020-04-19,8,15,12
2020-04-20,8,21,13
2020-04-21,10,23,15
2020-04-22,13,30,18
2020-04-23,15,27,27
2020-04-24,14,24,27
2020-04-25,20,27,17
2020-04-26,28,38,17
2020-04-27,3,9,15
2020-04-28,6,10,17
2020-04-29,5,7,21
2020-04-30,3,7,13
2020-05-01,5,9,15
2020-05-02,6,10,15
2020-05-03,10,14,20
2020-05-04,13,18,24
2020-05-05,6,13,12
2020-05-06,7,13,19
2020-05-07,15,25,31
2020-05-08,14,25,21
2020-05-09,8,12,18
2020-05-10,6,15,9
2020-05-11,6,13,18
2020-05-12,7,14,34
2020-05-13,4,8,19
2020-05-14,6,11,23
2020-05-15,7,13,28
2020-05-16,6,10,16
2020-05-17,7,11,10
2020-05-18,5,10,13
2020-05-19,7,12,17
2020-05-20,13,22,25
2020-05-21,9,17,23
2020-05-22,10,31,8
2020-05-23,7,16,5
2020-05-24,10,17,11
2020-05-25,7,12,19
2020-05-26,7,14,18
2020-05-27,10,19,31
2020-05-28,8,17,18
2020-05-29,5,14,16
2020-05-30,6,13,13
2020-05-31,8,14,10
2020-06-01,11,21,20
2020-06-02,7,17,21
2020-06-03,5,10,22
2020-06-04,4,8,18
2020-06-05,4,12,12
2020-06-06,4,8,9
2020-06-07,6,9,12
2020-06-08,8,14,22
2020-06-09,12,19,19
2020-06-10,9,13,20
2020-06-11,7,12,17
2020-06-12,3,5,20
2020-06-13,10,14,15
2020-06-14,12,16,19
2020-06-15,18,26,25
2020-06-16,19,28,29
2020-06-17,13,18,30
2020-06-18,10,13,32
2020-06-19,4,7,18
2020-06-20,5,9,10
2020-06-21,6,11,8
2020-06-22,8,16,11
2020-06-23,7,14,15
2020-06-24,12,21,18
2020-06-25,13,24,22
2020-06-26,13,22,25
2020-06-27,4,7,11
2020-06-28,4,8,8
2020-06-29,3,6,13
2020-06-30,6,10,21
2020-07-01,6,9,16
2020-07-02,3,6,22
2020-07-03,3,6,14
2020-07-04,2,4,13
2020-07-05,5,11,4
2020-07-06,6,14,10
2020-07-07,4,8,23
2020-07-08,4,7,27
2020-07-09,2,4,27
2020-07-10,4,10,17
2020-07-11,4,7,14
2020-07-12,5,8,19
2020-07-13,3,6,14
2020-07-14,3,6,14
2020-07-15,3,6,15
2020-07-16,3,6,18
2020-07-17,5,12,17
2020-07-18,3,6,15
2020-07-19,6,12,12
2020-07-20,5,10,27
2020-07-21,7,14,36
2020-07-22,6,12,22
2020-07-23,5,8,15
2020-07-24,5,9,15
2020-07-25,4,6,11
2020-07-26,3,7,9
2020-07-27,4,8,14
2020-07-28,4,11,9
2020-07-29,4,10,13
2020-07-30,6,11,24
2020-07-31,8,24,28
2020-08-01,5,9,14
2020-08-02,3,7,10
2020-08-03,3,6,21
2020-08-04,4,9,18
2020-08-05,3,7,12
2020-08-06,5,10,23
2020-08-07,5,10,21
2020-08-08,4,8,16
2020-08-09,10,17,14
2020-08-10,12,24,29
2020-08-11,22,34,25
2020-08-12,15,25,30
2020-08-13,13,19,24
2020-08-14,7,13,24
2020-08-15,10,14,16
2020-08-16,4,6,17
2020-08-17,5,8,23
2020-08-18,4,7,17
2020-08-19,3,7,29
2020-08-20,7,16,12
2020-08-21,5,10,10
2020-08-22,4,8,10
2020-08-23,5,10,10
2020-08-24,4,9,20
2020-08-25,3,7,11
2020-08-26,5,9,28
2020-08-27,6,10,34
2020-08-28,2,6,25
2020-08-29,3,8,16
2020-08-30,4,7,20
2020-08-31,7,11,44
2020-09-01,8,14,49
2020-09-02,8,15,23
2020-09-03,4,8,13
2020-09-04,7,15,16
2020-09-05,6,13,11
2020-09-06,5,7,17
2020-09-07,5,9,26
2020-09-08,4,8,19
2020-09-09,5,11,22
2020-09-10,9,18,43
2020-09-11,6,14,18
2020-09-12,6,12,11
2020-09-13,5,8,10
2020-09-14,9,17,56
2020-09-15,12,24,54
2020-09-16,14,22,41
2020-09-17,8,19,27
2020-09-18,6,15,26
2020-09-19,5,13,14
2020-09-20,6,10,16
2020-09-21,15,23,55
2020-09-22,17,27,53
2020-09-23,3,6,29
2020-09-24,3,6,30
2020-09-25,2,7,19
2020-09-26,4,9,19
2020-09-27,7,14,29
2020-09-28,13,22,94
2020-09-29,11,16,70
2020-09-30,6,11,31
2020-10-01,5,10,53
2020-10-02,7,12,33
2020-10-03,3,5,20
2020-10-04,3,6,19
2020-10-05,5,8,33
2020-10-06,4,8,25
2020-10-07,6,13,22
2020-10-08,3,6,35
2020-10-09,4,9,29
2020-10-10,4,9,19
2020-10-11,4,6,31
2020-10-12,6,11,31
2020-10-13,4,7,56
2020-10-14,8,13,37
2020-10-15,4,10,46
2020-10-16,5,11,52
2020-10-17,7,11,45
2020-10-18,13,16,28
2020-10-19,16,23,30
2020-10-20,9,15,20
2020-10-21,10,16,32
2020-10-22,4,9,20
2020-10-23,7,12,26
2020-10-24,5,9,20
2020-10-25,3,6,9
2020-10-26,6,11,18
2020-10-27,5,10,25
2020-10-28,6,11,19
2020-10-29,5,10,27
2020-10-30,4,8,48
2020-10-31,6,11,12
2020-11-01,7,13,8
2020-11-02,4,8,13
2020-11-03,7,11,40
2020-11-04,18,25,220
2020-11-05,33,42,152
2020-11-06,28,34,53
2020-11-07,37,47,86
2020-11-08,31,40,78
2020-11-09,16,21,57
2020-11-10,7,12,29
2020-11-11,6,11,23
2020-11-12,4,9,19
2020-11-13,5,10,18
2020-11-14,6,9,15
2020-11-15,5,9,9
2020-11-16,5,11,15
2020-11-17,2,4,13
2020-11-18,6,11,14
2020-11-19,6,10,51
2020-11-20,5,10,25
2020-11-21,4,7,17
2020-11-22,7,14,21
2020-11-23,6,10,49
2020-11-24,8,13,19
2020-11-25,8,13,65
2020-11-26,18,26,145
2020-11-27,19,30,202
2020-11-28,18,21,70
2020-11-29,25,28,40
2020-11-30,12,18,31
2020-12-01,12,19,205
2020-12-02,11,17,45
2020-12-03,4,7,41
2020-12-04,6,10,50
2020-12-05,11,14,79
2020-12-06,22,26,137
2020-12-07,17,22,150
2020-12-08,7,10,42
2020-12-09,8,16,45
2020-12-10,9,13,33
2020-12-11,9,13,66
2020-12-12,9,13,48
2020-12-13,4,7,17
2020-12-14,7,12,19
2020-12-15,7,12,26
2020-12-16,5,9,26
2020-12-17,6,11,22
2020-12-18,2,4,14
2020-12-19,3,5,11
2020-12-20,4,7,12
2020-12-21,5,8,46
2020-12-22,10,16,125
2020-12-23,2,4,24
2020-12-24,5,9,42
2020-12-25,9,12,45
2020-12-26,4,7,9
2020-12-27,5,9,12
2020-12-28,9,11,31
2020-12-29,15,19,101
2020-12-30,21,24,121
2020-12-31,18,21,66
2021-01-01,22,26,63
2021-01-02,14,18,118
2021-01-03,4,7,29
2021-01-04,4,8,35
2021-01-05,5,8,41
2021-01-06,13,18,101
2021-01-07,30,36,159
2021-01-08,10,14,53
2021-01-09,18,21,69
2021-01-10,10,12,25
2021-01-11,3,6,19
2021-01-12,10,15,112
2021-01-13,17,20,150
2021-01-14,4,5,60
2021-01-15,17,20,65
2021-01-16,10,17,17
2021-01-17,8,17,17
2021-01-18,6,9,26
2021-01-19,3,4,20
2021-01-20,2,3,23
2021-01-21,4,8,20
2021-01-22,7,13,42
2021-01-23,11,14,64
2021-01-24,14,17,59
2021-01-25,15,21,116
2021-01-26,10,13,86
2021-01-27,18,26,67
2021-01-28,6,10,76
2021-01-29,8,13,31
2021-01-30,4,8,12
2021-01-31,5,10,19
2021-02-01,9,22,51
2021-02-02,7,10,66
2021-02-03,6,12,61
2021-02-04,7,10,41
2021-02-05,10,12,42
2021-02-06,3,4,30
2021-02-07,7,15,13
2021-02-08,6,12,23
