Date,NOx_1,NOx_2,PM10_1,PM2.5_1
2019-05-06,21,19,No data,6
2019-05-07,50,29,No data,14
2019-05-08,49,20,No data,14
2019-05-09,53,24,No data,8
2019-05-10,58,32,No data,9
2019-05-11,43,42,No data,11
2019-05-12,44,42,No data,8
2019-05-13,57,29,No data,14
2019-05-14,60,47,No data,14
2019-05-15,50,28,No data,13
2019-05-16,39,17,No data,12
2019-05-17,50,18,No data,13
2019-05-18,36,25,No data,No data
2019-05-19,17,19,No data,No data
2019-05-20,34,25,No data,No data
2019-05-21,25,21,No data,No data
2019-05-22,45,29,No data,12
2019-05-23,36,27,No data,16
2019-05-24,27,22,No data,13
2019-05-25,26,16,No data,12
2019-05-26,23,15,No data,9
2019-05-27,18,16,No data,7
2019-05-28,28,26,No data,6
2019-05-29,68,19,No data,10
2019-05-30,55,17,No data,9
2019-05-31,45,19,No data,8
2019-06-01,50,18,No data,11
2019-06-02,28,11,No data,10
2019-06-03,29,17,No data,7
2019-06-04,53,22,No data,9
2019-06-05,49,24,No data,6
2019-06-06,55,26,No data,7
2019-06-07,62,26,No data,12
2019-06-08,40,19,No data,11
2019-06-09,48,24,No data,7
2019-06-10,74,30,No data,12
2019-06-11,40,19,No data,5
2019-06-12,51,31,No data,5
2019-06-13,40,33,No data,5
2019-06-14,51,21,No data,6
2019-06-15,47,19,No data,8
2019-06-16,28,10,No data,6
2019-06-17,49,16,No data,4
2019-06-18,41,21,No data,7
2019-06-19,28,29,No data,7
2019-06-20,34,26,No data,7
2019-06-21,31,29,No data,6
2019-06-22,56,20,No data,10
2019-06-23,25,9,No data,14
2019-06-24,41,27,No data,23
2019-06-25,48,25,No data,15
2019-06-26,40,17,No data,7
2019-06-27,37,28,No data,9
2019-06-28,45,16,No data,13
2019-06-29,40,19,No data,19
2019-06-30,18,18,No data,7
2019-07-01,22,15,No data,6
2019-07-02,26,24,No data,6
2019-07-03,45,32,No data,10
2019-07-04,32,27,No data,10
2019-07-05,23,19,No data,8
2019-07-06,21,17,No data,8
2019-07-07,25,18,No data,10
2019-07-08,39,21,No data,10
2019-07-09,40,29,No data,No data
2019-07-10,38,20,No data,No data
2019-07-11,38,23,No data,No data
2019-07-12,28,20,No data,No data
2019-07-13,19,13,No data,10
2019-07-14,30,18,No data,11
2019-07-15,42,27,No data,12
2019-07-16,49,37,No data,15
2019-07-17,65,24,No data,14
2019-07-18,27,No data,No data,9
2019-07-19,60,No data,No data,11
2019-07-20,25,12,No data,9
2019-07-21,26,12,No data,7
2019-07-22,No data,15,No data,No data
2019-07-23,No data,13,No data,No data
2019-07-24,37,21,No data,16
2019-07-25,55,29,No data,No data
2019-07-26,33,22,No data,No data
2019-07-27,28,16,No data,7
2019-07-28,21,12,No data,5
2019-07-29,36,20,No data,9
2019-07-30,50,19,No data,12
2019-07-31,36,23,No data,10
2019-08-01,42,29,No data,No data
2019-08-02,48,41,No data,No data
2019-08-03,45,19,No data,No data
2019-08-04,30,13,No data,11
2019-08-05,28,17,No data,6
2019-08-06,28,12,No data,5
2019-08-07,28,19,No data,6
2019-08-08,36,22,No data,8
2019-08-09,51,10,No data,7
2019-08-10,24,9,No data,6
2019-08-11,16,13,No data,4
2019-08-12,35,27,No data,4
2019-08-13,38,30,No data,5
2019-08-14,67,17,No data,5
2019-08-15,31,19,No data,5
2019-08-16,48,11,No data,5
2019-08-17,22,13,No data,6
2019-08-18,18,11,No data,5
2019-08-19,32,21,No data,6
2019-08-20,34,23,No data,6
2019-08-21,48,15,No data,No data
2019-08-22,45,13,No data,No data
2019-08-23,62,19,No data,No data
2019-08-24,83,25,No data,16
2019-08-25,58,20,No data,17
2019-08-26,33,30,No data,22
2019-08-27,79,46,No data,21
2019-08-28,54,34,No data,9
2019-08-29,44,13,No data,7
2019-08-30,37,10,No data,9
2019-08-31,26,15,No data,7
2019-09-01,25,22,No data,5
2019-09-02,44,21,No data,6
2019-09-03,44,17,No data,4
2019-09-04,26,15,No data,5
2019-09-05,29,22,No data,6
2019-09-06,41,16,No data,6
2019-09-07,46,24,No data,6
2019-09-08,54,31,No data,7
2019-09-09,71,21,No data,7
2019-09-10,63,35,No data,7
2019-09-11,42,18,No data,6
2019-09-12,51,14,No data,5
2019-09-13,60,51,No data,7
2019-09-14,82,36,No data,11
2019-09-15,29,22,No data,6
2019-09-16,40,31,No data,5
2019-09-17,51,47,No data,6
2019-09-18,91,66,No data,10
2019-09-19,129,69,No data,16
2019-09-20,112,41,No data,12
2019-09-21,63,18,No data,13
2019-09-22,54,18,No data,13
2019-09-23,46,14,No data,3
2019-09-24,89,25,No data,5
2019-09-25,74,33,No data,7
2019-09-26,45,16,No data,4
2019-09-27,55,19,No data,5
2019-09-28,41,16,No data,4
2019-09-29,39,18,No data,3
2019-09-30,85,27,No data,7
2019-10-01,41,16,No data,No data
2019-10-02,107,72,No data,9
2019-10-03,121,41,No data,10
2019-10-04,70,24,No data,9
2019-10-05,81,30,No data,10
2019-10-06,31,25,No data,5
2019-10-07,55,15,No data,6
2019-10-08,43,17,No data,7
2019-10-09,49,25,No data,6
2019-10-10,54,19,No data,5
2019-10-11,54,27,No data,6
2019-10-12,62,21,No data,6
2019-10-13,50,17,No data,5
2019-10-14,97,38,No data,6
2019-10-15,66,27,No data,6
2019-10-16,65,36,No data,5
2019-10-17,72,19,No data,5
2019-10-18,64,19,No data,4
2019-10-19,39,29,No data,6
2019-10-20,26,21,No data,3
2019-10-21,52,42,No data,5
2019-10-22,95,31,No data,9
2019-10-23,90,34,No data,15
2019-10-24,89,34,No data,15
2019-10-25,97,41,No data,7
2019-10-26,51,43,No data,5
2019-10-27,58,48,No data,6
2019-10-28,120,82,No data,10
2019-10-29,58,47,No data,6
2019-10-30,63,30,No data,11
2019-10-31,80,24,No data,18
2019-11-01,83,19,No data,8
2019-11-02,64,40,No data,13
2019-11-03,107,68,No data,33
2019-11-04,81,50,No data,13
2019-11-05,53,62,No data,No data
2019-11-06,142,76,No data,35
2019-11-07,53,30,No data,6
2019-11-08,60,56,No data,7
2019-11-09,100,41,No data,12
2019-11-10,50,41,No data,7
2019-11-11,39,29,No data,5
2019-11-12,35,28,No data,3
2019-11-13,112,43,No data,8
2019-11-14,39,16,No data,5
2019-11-15,43,22,No data,6
2019-11-16,62,60,No data,11
2019-11-17,83,57,No data,15
2019-11-18,156,238,No data,14
2019-11-19,183,104,No data,23
2019-11-20,80,22,No data,15
2019-11-21,60,22,No data,21
2019-11-22,79,26,No data,13
2019-11-23,72,36,No data,16
2019-11-24,95,48,No data,25
2019-11-25,94,22,No data,10
2019-11-26,90,22,No data,8
2019-11-27,71,54,No data,11
2019-11-28,56,53,No data,6
2019-11-29,221,264,No data,16
2019-11-30,107,116,No data,14
2019-12-01,134,241,No data,18
2019-12-02,309,176,No data,29
2019-12-03,156,97,No data,15
2019-12-04,102,31,No data,16
2019-12-05,66,28,No data,8
2019-12-06,46,28,No data,5
2019-12-07,53,20,No data,7
2019-12-08,26,18,No data,5
2019-12-09,65,46,No data,7
2019-12-10,41,18,No data,6
2019-12-11,75,28,No data,6
2019-12-12,88,28,No data,7
2019-12-13,56,39,No data,6
2019-12-14,47,27,No data,6
2019-12-15,44,20,No data,5
2019-12-16,107,52,No data,8
2019-12-17,223,124,No data,18
2019-12-18,142,38,No data,12
2019-12-19,58,15,No data,5
2019-12-20,75,58,No data,7
2019-12-21,88,29,No data,8
2019-12-22,70,51,No data,9
2019-12-23,49,34,No data,5
2019-12-24,53,25,No data,4
2019-12-25,35,26,No data,6
2019-12-26,43,37,No data,10
2019-12-27,171,89,No data,15
2019-12-28,61,17,No data,10
2019-12-29,52,17,No data,12
2019-12-30,140,43,No data,17
2019-12-31,102,44,No data,13
2020-01-01,38,22,28,22
2020-01-02,46,13,11,7
2020-01-03,39,26,16,8
2020-01-04,37,24,12,6
2020-01-05,36,13,6,4
2020-01-06,52,27,13,7
2020-01-07,49,14,12,7
2020-01-08,67,40,28,13
2020-01-09,48,29,10,5
2020-01-10,91,52,16,7
2020-01-11,38,13,6,3
2020-01-12,37,23,7,4
2020-01-13,45,12,10,5
2020-01-14,50,19,9,5
2020-01-15,70,No data,16,7
2020-01-16,45,No data,11,5
2020-01-17,76,43,12,7
2020-01-18,72,96,20,10
2020-01-19,142,76,22,19
2020-01-20,149,131,22,16
2020-01-21,160,90,25,16
2020-01-22,114,66,22,17
2020-01-23,104,59,21,16
2020-01-24,46,48,14,11
2020-01-25,61,23,19,14
2020-01-26,41,28,17,11
2020-01-27,68,21,11,5
2020-01-28,49,37,11,5
2020-01-29,44,30,16,7
2020-01-30,53,19,14,6
2020-01-31,58,15,8,4
2020-02-01,32,24,20,10
2020-02-02,45,18,13,8
2020-02-03,30,25,20,8
2020-02-04,37,23,20,10
2020-02-05,138,95,31,18
2020-02-06,210,184,33,21
2020-02-07,107,72,32,22
2020-02-08,38,9,16,8
2020-02-09,15,13,8,4
2020-02-10,29,26,17,7
2020-02-11,23,18,19,8
2020-02-12,60,37,16,7
2020-02-13,83,63,11,7
2020-02-14,105,30,17,12
2020-02-15,39,10,9,5
2020-02-16,21,11,11,5
2020-02-17,38,21,18,7
2020-02-18,47,26,15,7
2020-02-19,68,21,14,7
2020-02-20,39,22,11,5
2020-02-21,54,15,14,7
2020-02-22,27,18,10,6
2020-02-23,34,20,11,5
2020-02-24,45,19,9,4
2020-02-25,46,37,9,5
2020-02-26,54,26,13,6
2020-02-27,56,39,14,7
2020-02-28,74,16,7,4
2020-02-29,37,17,10,5
2020-03-01,29,20,13,6
2020-03-02,70,33,15,7
2020-03-03,62,34,14,7
2020-03-04,122,68,22,12
2020-03-05,96,70,29,19
2020-03-06,118,88,26,16
2020-03-07,50,11,15,8
2020-03-08,31,19,9,5
2020-03-09,40,16,15,8
2020-03-10,37,19,11,6
2020-03-11,45,16,13,6
2020-03-12,29,21,16,6
2020-03-13,49,19,13,7
2020-03-14,48,11,10,6
2020-03-15,22,11,10,5
2020-03-16,41,22,16,7
2020-03-17,37,11,8,3
2020-03-18,41,22,11,5
2020-03-19,69,45,20,10
2020-03-20,42,14,17,9
2020-03-21,37,8,15,7
2020-03-22,28,12,18,11
2020-03-23,67,24,24,13
2020-03-24,52,16,34,21
2020-03-25,63,31,32,20
2020-03-26,73,32,41,27
2020-03-27,34,19,39,29
2020-03-28,15,6,15,8
2020-03-29,13,7,12,6
2020-03-30,47,22,14,7
2020-03-31,20,13,8,4
2020-04-01,17,12,13,6
2020-04-02,13,8,16,8
2020-04-03,18,15,15,7
2020-04-04,19,10,11,7
2020-04-05,14,6,15,8
2020-04-06,15,12,13,6
2020-04-07,53,26,19,10
2020-04-08,50,24,22,12
2020-04-09,30,18,20,13
2020-04-10,23,16,34,24
2020-04-11,18,14,27,20
2020-04-12,19,9,17,13
2020-04-13,10,4,17,8
2020-04-14,26,18,22,12
2020-04-15,55,37,31,19
2020-04-16,38,26,31,19
2020-04-17,15,8,22,12
2020-04-18,17,11,15,8
2020-04-19,13,7,14,8
2020-04-20,14,7,20,7
2020-04-21,13,9,23,10
2020-04-22,18,11,29,12
2020-04-23,20,13,37,24
2020-04-24,24,15,21,13
2020-04-25,18,15,21,14
2020-04-26,12,12,29,21
2020-04-27,11,12,8,3
