Date,NOx_1,NOx_2,NOx_3,PM10_2,PM10_3,PM2.5_1,PM2.5_2,PM2.5_3
2020-07-03,32,16,22,10,No data,4,6,No data
2020-07-04,29,9,13,3,No data,3,1,No data
2020-07-05,13,4,8,7,No data,4,3,No data
2020-07-06,26,9,19,10,No data,6,4,No data
2020-07-07,69,21,35,9,No data,8,5,No data
2020-07-08,81,27,17,7,No data,11,4,No data
2020-07-09,66,20,17,3,No data,5,2,No data
2020-07-10,41,12,25,6,No data,7,3,No data
2020-07-11,34,9,15,6,No data,6,3,No data
2020-07-12,42,14,18,6,No data,11,3,No data
2020-07-13,62,16,37,5,No data,7,2,No data
2020-07-14,36,11,24,5,No data,6,3,No data
2020-07-15,39,11,31,6,No data,5,4,No data
2020-07-16,35,11,22,6,No data,4,4,No data
2020-07-17,36,11,28,11,No data,5,4,No data
2020-07-18,35,9,18,7,No data,4,3,No data
2020-07-19,19,4,8,8,No data,5,4,No data
2020-07-20,31,8,25,7,No data,4,3,No data
2020-07-21,58,13,35,9,No data,7,5,No data
2020-07-22,No data,16,39,10,No data,6,5,No data
2020-07-23,No data,11,31,7,No data,5,3,No data
2020-07-24,No data,11,24,6,No data,4,3,No data
2020-07-25,No data,14,16,5,No data,4,3,No data
2020-07-26,No data,8,13,6,No data,3,3,No data
2020-07-27,No data,16,20,6,No data,4,3,No data
2020-07-28,No data,10,20,7,No data,3,3,No data
2020-07-29,46,No data,No data,No data,No data,4,No data,No data
2020-07-30,120,No data,No data,No data,No data,11,No data,No data
2020-07-31,No data,37,38,23,No data,13,9,No data
2020-08-01,No data,11,16,7,No data,5,4,No data
2020-08-02,No data,8,14,6,No data,3,3,No data
2020-08-03,No data,11,33,5,No data,5,2,No data
2020-08-04,No data,16,34,8,No data,3,3,No data
2020-08-05,No data,9,18,7,No data,3,3,No data
2020-08-06,No data,20,26,7,No data,5,3,No data
2020-08-07,No data,19,31,15,No data,7,4,No data
2020-08-08,No data,13,12,11,No data,5,5,No data
2020-08-09,No data,7,8,21,No data,10,12,No data
2020-08-10,No data,15,13,30,No data,14,15,No data
2020-08-11,No data,21,16,37,No data,22,23,No data
2020-08-12,No data,28,27,33,No data,24,20,No data
2020-08-13,No data,16,13,22,No data,No data,15,No data
2020-08-14,No data,15,14,15,No data,No data,9,No data
2020-08-15,No data,13,11,18,No data,No data,12,No data
2020-08-16,No data,13,9,10,No data,No data,7,No data
2020-08-17,No data,28,29,12,No data,No data,7,No data
2020-08-18,No data,21,40,7,No data,5,4,No data
2020-08-19,No data,35,31,9,No data,8,5,No data
2020-08-20,No data,14,22,15,No data,6,6,No data
2020-08-21,No data,8,14,10,No data,4,4,No data
2020-08-22,No data,7,14,6,No data,2,3,No data
2020-08-23,No data,9,16,6,No data,3,4,No data
2020-08-24,No data,16,28,9,No data,5,5,No data
2020-08-25,No data,13,14,5,No data,4,3,No data
2020-08-26,No data,14,29,5,No data,4,2,No data
2020-08-27,No data,33,46,10,No data,8,6,No data
2020-08-28,No data,19,14,7,No data,5,4,No data
2020-08-29,No data,11,14,7,No data,3,4,No data
2020-08-30,No data,15,18,8,No data,6,5,No data
2020-08-31,No data,30,41,8,No data,6,5,No data
2020-09-01,No data,41,62,13,No data,10,7,No data
2020-09-02,No data,22,46,12,No data,11,8,No data
2020-09-03,No data,14,33,6,No data,4,3,No data
2020-09-04,No data,14,39,12,No data,5,6,No data
2020-09-05,No data,13,19,10,No data,3,5,No data
2020-09-06,No data,13,18,9,No data,7,6,No data
2020-09-07,No data,18,42,7,No data,5,4,No data
2020-09-08,No data,14,32,5,No data,2,2,No data
2020-09-09,28,10,23,8,No data,2,4,No data
2020-09-10,87,21,54,14,No data,7,8,No data
2020-09-11,54,14,30,10,No data,5,5,No data
2020-09-12,41,13,19,10,No data,5,5,No data
2020-09-13,42,11,16,8,No data,6,5,No data
2020-09-14,138,35,71,17,No data,11,10,No data
2020-09-15,159,74,100,26,No data,17,13,No data
2020-09-16,67,22,31,21,No data,9,12,No data
2020-09-17,86,26,24,21,No data,8,8,No data
2020-09-18,71,32,34,19,No data,10,7,No data
2020-09-19,42,14,12,14,No data,6,6,No data
2020-09-20,45,14,9,10,No data,5,6,No data
2020-09-21,126,43,75,17,No data,12,9,No data
2020-09-22,98,43,63,28,No data,20,16,No data
2020-09-23,83,22,35,6,No data,6,4,No data
2020-09-24,106,26,35,7,No data,6,4,No data
2020-09-25,36,8,13,7,No data,2,3,No data
2020-09-26,32,10,8,11,No data,2,5,No data
