Date,PM2.5_1,PM10_1,NOx_1,NOx_2
2019-05-03,8,13,28,34
2019-05-04,6,11,16,19
2019-05-05,9,13,16,29
2019-05-06,9,13,27,21
2019-05-07,12,18,35,14
2019-05-08,10,26,14,15
2019-05-09,7,12,18,28
2019-05-10,10,14,35,19
2019-05-11,7,12,14,18
2019-05-12,10,14,15,15
2019-05-13,8,14,20,12
2019-05-14,10,20,19,12
2019-05-15,13,22,22,13
2019-05-16,16,24,25,18
2019-05-17,14,18,27,38
2019-05-18,16,20,25,21
2019-05-19,10,14,10,14
2019-05-20,10,12,16,21
2019-05-21,10,15,24,20
2019-05-22,12,15,37,33
2019-05-23,13,16,38,28
2019-05-24,9,11,16,22
2019-05-25,10,13,15,16
2019-05-26,8,10,9,15
2019-05-27,8,14,9,12
2019-05-28,6,9,15,19
2019-05-29,10,14,27,22
2019-05-30,11,17,11,20
2019-05-31,9,9,27,15
2019-06-01,12,16,39,11
2019-06-02,11,18,13,13
2019-06-03,8,18,15,33
2019-06-04,7,12,15,25
2019-06-05,6,11,10,46
2019-06-06,6,10,25,20
2019-06-07,8,10,16,28
2019-06-08,8,13,8,19
2019-06-09,7,12,29,19
2019-06-10,6,9,25,38
2019-06-11,5,6,14,25
2019-06-12,4,6,18,38
2019-06-13,7,10,14,37
2019-06-14,7,13,12,15
2019-06-15,8,11,9,13
2019-06-16,9,17,7,9
2019-06-17,11,18,17,15
2019-06-18,12,14,31,23
2019-06-19,9,11,16,29
2019-06-20,6,11,10,24
2019-06-21,8,12,15,26
2019-06-22,7,12,33,17
2019-06-23,22,30,18,12
2019-06-24,23,28,22,27
2019-06-25,12,16,33,25
2019-06-26,19,23,31,18
2019-06-27,10,21,12,7
2019-06-28,18,33,19,No data
2019-06-29,20,28,20,No data
2019-06-30,9,13,8,No data
2019-07-01,7,11,13,No data
2019-07-02,8,12,20,No data
2019-07-03,10,15,No data,No data
2019-07-04,10,15,42,No data
2019-07-05,15,19,26,No data
2019-07-06,9,12,12,No data
2019-07-07,10,12,9,No data
2019-07-08,13,18,30,No data
2019-07-09,13,15,43,No data
2019-07-10,11,14,30,No data
2019-07-11,9,10,13,No data
2019-07-12,7,9,12,No data
2019-07-13,8,10,14,No data
2019-07-14,11,13,19,No data
2019-07-15,10,13,26,No data
2019-07-16,10,14,32,No data
2019-07-17,13,18,24,No data
2019-07-18,No data,13,11,No data
2019-07-19,No data,14,13,No data
2019-07-20,No data,12,8,No data
2019-07-21,9,12,13,No data
2019-07-22,13,18,19,No data
2019-07-23,11,20,29,No data
2019-07-24,14,19,22,No data
2019-07-25,11,17,20,No data
2019-07-26,9,20,13,No data
2019-07-27,8,14,14,No data
2019-07-28,8,11,19,No data
2019-07-29,8,15,27,No data
2019-07-30,8,13,9,No data
2019-07-31,No data,No data,15,No data
2019-08-01,No data,No data,36,No data
2019-08-02,No data,No data,35,No data
2019-08-03,No data,No data,31,No data
2019-08-04,No data,No data,18,No data
2019-08-05,No data,No data,11,No data
2019-08-06,8,15,11,No data
2019-08-07,7,12,10,No data
2019-08-08,8,12,32,No data
2019-08-09,12,25,11,No data
2019-08-10,13,29,8,No data
2019-08-11,8,15,6,No data
2019-08-12,7,9,20,No data
2019-08-13,6,9,15,No data
2019-08-14,7,11,9,No data
2019-08-15,9,13,11,No data
2019-08-16,8,13,12,No data
2019-08-17,8,18,9,No data
2019-08-18,6,13,6,No data
2019-08-19,8,16,9,No data
2019-08-20,No data,16,24,No data
2019-08-21,No data,15,52,No data
2019-08-22,No data,11,14,No data
2019-08-23,10,15,33,No data
2019-08-24,14,21,28,No data
2019-08-25,17,20,11,No data
2019-08-26,13,14,15,No data
2019-08-27,8,10,22,No data
2019-08-28,No data,No data,No data,24
2019-08-29,No data,No data,No data,26
2019-08-30,7,12,16,14
2019-08-31,7,12,7,14
2019-09-01,7,11,12,22
2019-09-02,8,12,44,30
2019-09-03,6,10,16,19
2019-09-04,7,11,8,15
2019-09-05,7,14,16,26
2019-09-06,8,13,30,29
2019-09-07,7,10,41,23
2019-09-08,9,10,27,36
2019-09-09,6,7,31,24
2019-09-10,6,11,15,27
2019-09-11,7,12,11,23
2019-09-12,8,12,13,20
2019-09-13,8,11,32,31
2019-09-14,12,20,40,23
