Date,Nox,PM2.5,PM10
2021-11-12,13,10,15
2021-11-13,11,3,6
2021-11-14,15,8,10
2021-11-15,41,14,18
2021-11-16,32,12,16
2021-11-17,37,10,17
2021-11-18,31,8,14
2021-11-19,36,10,14
2021-11-20,19,12,15
2021-11-21,9,4,7
2021-11-22,20,6,11
2021-11-23,62,15,20
2021-11-24,68,22,27
2021-11-25,23,8,13
2021-11-26,23,5,9
2021-11-27,8,3,4
2021-11-28,10,4,7
2021-11-29,37,9,13
2021-11-30,21,4,6
2021-12-01,12,3,5
2021-12-02,22,5,9
2021-12-03,53,9,12
2021-12-04,38,7,10
2021-12-05,8,3,5
2021-12-06,23,7,10
2021-12-07,17,5,10
2021-12-08,10,6,13
2021-12-09,24,7,13
2021-12-10,13,4,7
2021-12-11,29,7,11
2021-12-12,11,4,7
2021-12-13,17,3,6
2021-12-14,21,7,10
2021-12-15,31,7,10
2021-12-16,45,12,17
2021-12-17,35,11,13
2021-12-18,15,8,9
2021-12-19,16,4,4
2021-12-20,26,6,11
2021-12-21,36,13,18
2021-12-22,33,17,21
2021-12-23,20,18,22
2021-12-24,35,11,15
2021-12-25,12,11,15
2021-12-26,37,21,24
2021-12-27,11,8,11
2021-12-28,9,2,4
2021-12-29,14,5,7
2021-12-30,6,4,6
2021-12-31,8,7,10
2022-01-01,6,10,16
2022-01-02,5,4,7
2022-01-03,7,9,15
2022-01-04,19,5,9
2022-01-05,18,6,10
2022-01-06,36,8,12
2022-01-07,19,5,8
2022-01-08,12,6,9
2022-01-09,27,8,12
2022-01-10,45,14,20
2022-01-11,27,13,16
2022-01-12,97,17,24
2022-01-13,111,14,19
2022-01-14,123,23,27
2022-01-15,51,29,31
2022-01-16,29,19,21
2022-01-17,75,13,19
2022-01-18,118,18,23
2022-01-19,32,10,14
2022-01-20,19,7,12
2022-01-21,50,12,19
2022-01-22,27,16,19
2022-01-23,31,20,23
2022-01-24,16,22,26
2022-01-25,28,27,31
2022-01-26,30,20,27
2022-01-27,20,7,12
2022-01-28,42,9,14
2022-01-29,11,4,9
2022-01-30,16,9,15
2022-01-31,13,5,10
2022-02-01,14,4,8
2022-02-02,24,5,8
2022-02-03,22,5,9
2022-02-04,14,4,8
2022-02-05,15,5,10
2022-02-06,5,3,7
2022-02-07,18,6,11
2022-02-08,15,3,8
2022-02-09,17,4,7
2022-02-10,17,5,9
2022-02-11,23,7,11
2022-02-12,10,8,12
2022-02-13,6,9,15
2022-02-14,14,3,5
2022-02-15,15,5,8
2022-02-16,9,4,7
2022-02-17,12,8,15
2022-02-18,5,7,14
2022-02-19,8,5,9
2022-02-20,5,8,13
2022-02-21,8,7,13
2022-02-22,17,7,13
2022-02-23,19,8,14
2022-02-24,12,4,7
2022-02-25,35,10,16
2022-02-26,31,9,14
2022-02-27,12,7,11
2022-02-28,22,12,19
2022-03-01,31,14,16
2022-03-02,57,30,36
2022-03-03,53,32,42
2022-03-04,47,26,31
2022-03-05,12,12,14
2022-03-06,8,6,9
2022-03-07,13,10,16
2022-03-08,22,28,36
2022-03-09,19,20,26
2022-03-10,24,19,26
2022-03-11,16,12,17
2022-03-12,8,5,9
2022-03-13,11,5,8
2022-03-14,24,7,11
2022-03-15,35,14,19
2022-03-16,30,16,22
2022-03-17,25,5,9
2022-03-18,34,11,17
2022-03-19,14,14,23
2022-03-20,16,23,31
2022-03-21,47,36,45
2022-03-22,53,41,52
2022-03-23,76,55,69
2022-03-24,78,63,77
2022-03-25,34,50,67
2022-03-26,16,33,44
2022-03-27,11,6,8
2022-03-28,20,17,21
2022-03-29,14,26,32
2022-03-30,16,21,29
2022-03-31,9,3,7
2022-04-01,11,4,8
2022-04-02,14,5,8
2022-04-03,12,6,9
2022-04-04,15,5,7
2022-04-05,14,4,8
2022-04-06,7,4,7
2022-04-07,7,3,8
2022-04-08,32,7,11
2022-04-09,19,6,9
2022-04-10,25,8,11
2022-04-11,26,13,20
2022-04-12,24,11,17
2022-04-13,15,7,10
2022-04-14,36,8,13
2022-04-15,41,15,19
2022-04-16,25,27,31
2022-04-17,28,20,26
2022-04-18,28,13,18
2022-04-19,19,13,18
2022-04-20,16,13,20
2022-04-21,19,14,21
2022-04-22,11,13,22
2022-04-23,13,22,32
2022-04-24,8,13,21
2022-04-25,No data,No data,No data
2022-04-26,No data,6,11
2022-04-27,12,6,11
2022-04-28,13,9,14
2022-04-29,12,8,13
2022-04-30,10,9,13
2022-05-01,12,10,14
2022-05-02,20,8,11
2022-05-03,14,15,19
2022-05-04,20,14,21
2022-05-05,13,7,11
2022-05-06,24,9,16
2022-05-07,11,5,7
2022-05-08,7,9,15
2022-05-09,17,10,16
2022-05-10,10,6,11
2022-05-11,10,5,10
2022-05-12,19,6,11
2022-05-13,10,6,12
2022-05-14,21,11,19
2022-05-15,28,18,29
2022-05-16,14,11,17
2022-05-17,17,6,11
2022-05-18,17,4,8
2022-05-19,14,6,10
2022-05-20,18,4,7
2022-05-21,12,6,10
2022-05-22,20,7,11
2022-05-23,26,6,9
2022-05-24,11,2,4
2022-05-25,11,3,7
2022-05-26,10,5,9
2022-05-27,9,5,11
2022-05-28,8,4,8
2022-05-29,8,3,5
2022-05-30,12,4,7
2022-05-31,14,3,5
2022-06-01,18,5,8
2022-06-02,14,6,9
2022-06-03,13,9,15
2022-06-04,6,9,16
2022-06-05,9,13,18
2022-06-06,13,5,7
2022-06-07,16,5,8
2022-06-08,9,3,6
2022-06-09,9,6,12
2022-06-10,6,7,11
2022-06-11,8,7,13
2022-06-12,8,6,11
2022-06-13,9,4,8
2022-06-14,13,6,11
2022-06-15,20,9,15
2022-06-16,19,10,17
2022-06-17,18,11,23
2022-06-18,12,8,15
2022-06-19,7,5,9
2022-06-20,9,6,11
2022-06-21,13,7,11
2022-06-22,13,8,12
2022-06-23,20,15,21
2022-06-24,7,8,12
2022-06-25,5,5,9
2022-06-26,5,4,7
2022-06-27,8,4,8
2022-06-28,9,4,9
2022-06-29,11,4,7
2022-06-30,9,3,5
2022-07-01,8,3,7
2022-07-02,6,2,5
2022-07-03,9,3,6
2022-07-04,14,4,8
2022-07-05,9,3,7
2022-07-06,10,3,8
2022-07-07,8,4,8
2022-07-08,15,7,13
2022-07-09,7,3,7
2022-07-10,11,4,8
2022-07-11,17,4,10
2022-07-12,24,5,13
2022-07-13,11,6,12
2022-07-14,11,6,12
2022-07-15,10,4,10
2022-07-16,7,3,7
2022-07-17,14,5,10
2022-07-18,20,6,15
2022-07-19,22,13,30
2022-07-20,6,13,20
2022-07-21,7,6,13
2022-07-22,5,4,8
2022-07-23,6,4,9
2022-07-24,4,4,7
2022-07-25,4,3,9
2022-07-26,6,4,9
2022-07-27,9,3,6
2022-07-28,11,4,11
2022-07-29,10,5,11
2022-07-30,12,6,12
2022-07-31,8,3,6
2022-08-01,9,4,7
2022-08-02,8,5,14
2022-08-03,8,6,16
2022-08-04,54,5,16
2022-08-05,33,3,12
2022-08-06,11,6,12
2022-08-07,19,6,13
2022-08-08,17,7,14
2022-08-09,19,5,11
2022-08-10,36,7,16
2022-08-11,34,9,20
2022-08-12,39,10,24
2022-08-13,45,10,22
2022-08-14,24,13,22
2022-08-15,21,14,25
2022-08-16,25,14,22
2022-08-17,15,19,25
2022-08-18,12,8,14
2022-08-19,12,4,9
2022-08-20,10,4,9
2022-08-21,9,6,11
2022-08-22,11,5,10
2022-08-23,8,2,5
2022-08-24,14,3,6
2022-08-25,16,5,8
2022-08-26,13,8,12
2022-08-27,10,4,7
2022-08-28,7,3,7
2022-08-29,5,3,7
2022-08-30,7,4,9
2022-08-31,7,4,11
