Date,PM10_1,NOx_1,NOx_2,PM2.5_1
2021-06-06,5,No data,14,3
2021-06-07,11,No data,29,7
2021-06-08,7,No data,23,4
2021-06-09,6,No data,18,3
2021-06-10,5,No data,16,2
2021-06-11,8,No data,14,4
2021-06-12,8,No data,11,4
2021-06-13,5,No data,10,3
2021-06-14,7,No data,13,3
2021-06-15,13,No data,24,7
2021-06-16,9,No data,28,4
2021-06-17,10,No data,22,6
2021-06-18,9,No data,10,5
2021-06-19,9,No data,22,5
2021-06-20,10,No data,10,6
2021-06-21,11,No data,12,7
2021-06-22,13,No data,20,7
2021-06-23,13,No data,28,8
2021-06-24,7,No data,25,3
2021-06-25,9,No data,5,4
2021-06-26,5,No data,7,3
2021-06-27,8,No data,8,5
2021-06-28,7,No data,23,4
2021-06-29,11,No data,12,7
2021-06-30,10,No data,5,5
2021-07-01,14,No data,10,8
2021-07-02,13,No data,26,8
2021-07-03,23,No data,32,17
2021-07-04,20,No data,26,14
2021-07-05,7,No data,22,3
2021-07-06,6,No data,19,3
2021-07-07,8,No data,24,4
2021-07-08,8,No data,23,5
2021-07-09,13,No data,29,10
2021-07-10,17,No data,21,13
2021-07-11,16,No data,16,12
2021-07-12,11,No data,8,7
2021-07-13,7,No data,10,4
2021-07-14,7,No data,12,4
2021-07-15,10,No data,13,5
2021-07-16,8,No data,29,4
2021-07-17,10,No data,14,5
2021-07-18,6,No data,11,3
2021-07-19,10,No data,26,6
2021-07-20,No data,No data,No data,No data
2021-07-21,No data,No data,No data,No data
2021-07-22,19,No data,24,13
2021-07-23,10,No data,16,6
2021-07-24,12,No data,6,7
2021-07-25,13,No data,7,8
2021-07-26,17,No data,27,11
2021-07-27,19,No data,20,12
2021-07-28,9,No data,28,5
2021-07-29,6,No data,14,3
2021-07-30,7,No data,16,4
2021-07-31,10,No data,9,5
2021-08-01,10,No data,12,4
2021-08-02,10,No data,33,5
2021-08-03,11,No data,30,7
2021-08-04,13,No data,32,8
2021-08-05,24,No data,30,15
2021-08-06,13,No data,29,7
2021-08-07,9,No data,23,5
2021-08-08,7,No data,12,3
2021-08-09,7,No data,18,4
2021-08-10,7,No data,24,4
2021-08-11,9,No data,28,5
2021-08-12,10,No data,28,4
2021-08-13,13,No data,18,6
2021-08-14,9,No data,12,5
2021-08-15,6,No data,19,4
2021-08-16,11,No data,15,6
2021-08-17,5,No data,22,2
2021-08-18,6,No data,15,3
2021-08-19,9,No data,29,6
2021-08-20,15,No data,34,10
2021-08-21,20,No data,44,10
2021-08-22,14,No data,15,7
2021-08-23,7,No data,20,4
2021-08-24,7,No data,27,5
2021-08-25,9,No data,22,6
2021-08-26,16,No data,6,7
2021-08-27,12,No data,10,5
2021-08-28,12,No data,30,7
2021-08-29,8,No data,7,5
2021-08-30,7,No data,4,4
2021-08-31,10,No data,7,6
2021-09-01,17,No data,5,9
2021-09-02,12,No data,5,7
2021-09-03,13,No data,12,9
2021-09-04,11,No data,21,8
2021-09-05,14,No data,21,9
2021-09-06,24,No data,36,18
2021-09-07,31,No data,52,23
2021-09-08,50,No data,58,30
2021-09-09,37,No data,46,29
2021-09-10,22,No data,44,17
2021-09-11,6,No data,17,3
2021-09-12,6,No data,8,3
2021-09-13,10,No data,42,5
2021-09-14,8,No data,30,4
2021-09-15,8,No data,35,4
2021-09-16,7,No data,38,4
2021-09-17,12,No data,41,7
2021-09-18,22,No data,44,15
2021-09-19,13,No data,24,9
2021-09-20,6,No data,29,3
2021-09-21,14,No data,31,8
2021-09-22,8,No data,17,3
2021-09-23,8,No data,12,3
2021-09-24,6,No data,15,3
2021-09-25,7,No data,45,4
2021-09-26,14,No data,20,10
2021-09-27,6,No data,17,3
2021-09-28,7,No data,39,4
2021-09-29,6,No data,19,3
2021-09-30,6,No data,30,3
2021-10-01,6,No data,17,3
2021-10-02,7,No data,23,4
2021-10-03,5,No data,12,2
2021-10-04,6,No data,29,4
2021-10-05,6,No data,15,3
2021-10-06,6,No data,23,3
2021-10-07,7,No data,30,5
2021-10-08,7,No data,56,4
2021-10-09,14,No data,47,10
2021-10-10,7,No data,13,4
2021-10-11,9,No data,22,5
2021-10-12,8,No data,18,4
2021-10-13,5,No data,24,3
2021-10-14,8,No data,25,5
2021-10-15,12,No data,49,5
2021-10-16,13,No data,55,9
2021-10-17,12,No data,22,10
2021-10-18,17,No data,41,14
2021-10-19,6,No data,29,4
2021-10-20,9,No data,40,4
2021-10-21,8,No data,22,4
2021-10-22,11,No data,30,5
2021-10-23,6,No data,29,4
2021-10-24,8,No data,16,5
2021-10-25,8,No data,32,4
2021-10-26,10,No data,20,6
2021-10-27,5,No data,14,2
2021-10-28,8,No data,25,5
2021-10-29,8,No data,26,5
2021-10-30,7,No data,27,4
2021-10-31,6,No data,17,4
2021-11-01,4,No data,20,2
2021-11-02,7,No data,57,4
2021-11-03,5,No data,21,2
2021-11-04,5,No data,27,2
2021-11-05,9,No data,29,6
2021-11-06,7,No data,11,4
2021-11-07,16,No data,8,8
2021-11-08,13,No data,41,7
2021-11-09,3,No data,33,2
2021-11-10,10,No data,67,5
2021-11-11,12,No data,47,8
2021-11-12,6,No data,24,4
2021-11-13,7,No data,18,4
2021-11-14,19,No data,31,14
2021-11-15,18,No data,54,15
2021-11-16,7,No data,29,4
2021-11-17,10,No data,20,5
2021-11-18,3,No data,15,2
2021-11-19,5,No data,27,3
2021-11-20,4,No data,19,2
2021-11-21,6,No data,15,3
2021-11-22,7,No data,40,4
2021-11-23,4,No data,32,3
2021-11-24,7,No data,31,4
2021-11-25,9,No data,24,5
2021-11-26,5,No data,14,2
2021-11-27,15,No data,6,8
2021-11-28,5,No data,20,3
2021-11-29,4,No data,48,3
2021-11-30,2,No data,19,1
2021-12-01,6,No data,13,3
2021-12-02,8,No data,30,4
2021-12-03,7,No data,38,5
2021-12-04,4,No data,23,2
2021-12-05,10,No data,15,6
2021-12-06,8,No data,35,5
2021-12-07,9,No data,28,5
2021-12-08,5,No data,33,4
2021-12-09,8,No data,58,6
2021-12-10,5,No data,24,3
2021-12-11,9,No data,32,6
2021-12-12,8,No data,41,5
2021-12-13,9,No data,55,5
2021-12-14,6,No data,24,5
2021-12-15,4,No data,27,3
2021-12-16,7,No data,127,6
2021-12-17,19,No data,219,16
2021-12-18,11,No data,62,10
2021-12-19,12,No data,67,10
2021-12-20,15,No data,46,8
2021-12-21,21,No data,39,16
2021-12-22,32,No data,60,27
2021-12-23,27,No data,99,23
2021-12-24,9,No data,22,4
2021-12-25,15,No data,7,6
2021-12-26,15,No data,16,8
2021-12-27,11,No data,27,9
2021-12-28,6,No data,20,5
2021-12-29,11,No data,20,7
2021-12-30,4,No data,21,2
2021-12-31,8,No data,12,5
2022-01-01,15,No data,7,9
2022-01-02,7,No data,7,4
2022-01-03,7,No data,8,4
2022-01-04,8,No data,16,4
2022-01-05,9,No data,28,5
2022-01-06,8,No data,34,6
2022-01-07,4,No data,25,2
2022-01-08,9,No data,19,6
2022-01-09,9,No data,25,6
2022-01-10,15,No data,57,11
2022-01-11,14,No data,58,8
2022-01-12,8,No data,29,5
2022-01-13,8,No data,25,5
2022-01-14,12,No data,77,10
2022-01-15,21,No data,83,19
2022-01-16,13,No data,27,10
2022-01-17,10,No data,39,6
2022-01-18,12,No data,63,9
2022-01-19,8,No data,18,4
2022-01-20,12,No data,20,5
2022-01-21,5,No data,27,3
2022-01-22,3,No data,22,2
2022-01-23,10,No data,37,7
2022-01-24,No data,No data,No data,No data
2022-01-25,No data,No data,No data,No data
2022-01-26,10,11,18,7
2022-01-27,7,12,23,3
2022-01-28,8,11,30,4
2022-01-29,11,4,7,5
2022-01-30,12,9,17,6
2022-01-31,10,13,18,4
2022-02-01,15,5,10,9
2022-02-02,4,7,19,3
2022-02-03,8,8,18,4
2022-02-04,8,6,17,4
2022-02-05,5,5,11,3
2022-02-06,4,4,8,2
2022-02-07,9,11,24,4
2022-02-08,4,12,20,3
2022-02-09,7,10,19,3
2022-02-10,8,7,16,4
2022-02-11,14,22,52,8
2022-02-12,7,8,12,4
2022-02-13,7,9,16,5
2022-02-14,3,26,19,2
2022-02-15,9,10,20,5
2022-02-16,9,6,10,6
2022-02-17,7,5,14,3
2022-02-18,4,7,14,2
2022-02-19,9,11,29,5
2022-02-20,4,4,6,3
2022-02-21,8,21,21,4
2022-02-22,11,6,18,6
2022-02-23,9,5,10,5
2022-02-24,8,5,16,4
2022-02-25,11,11,21,5
2022-02-26,15,13,22,9
2022-02-27,15,12,19,10
2022-02-28,14,15,31,11
2022-03-01,15,31,41,7
2022-03-02,31,18,26,22
2022-03-03,54,55,72,43
2022-03-04,9,35,31,7
2022-03-05,12,14,8,5
2022-03-06,15,25,33,8
2022-03-07,14,24,50,7
2022-03-08,38,19,32,27
2022-03-09,26,14,26,19
2022-03-10,20,18,32,13
2022-03-11,42,22,31,29
2022-03-12,11,11,22,7
2022-03-13,15,11,16,10
2022-03-14,9,10,22,5
2022-03-15,19,22,36,11
2022-03-16,25,32,35,19
2022-03-17,10,9,21,5
2022-03-18,32,29,55,19
2022-03-19,21,17,32,12
2022-03-20,38,14,20,23
2022-03-21,54,33,46,40
2022-03-22,62,34,48,45
2022-03-23,83,43,83,65
2022-03-24,68,55,90,49
2022-03-25,43,39,67,32
2022-03-26,33,40,60,25
2022-03-27,27,27,41,19
2022-03-28,23,30,24,17
2022-03-29,21,23,19,16
2022-03-30,6,13,9,3
2022-03-31,7,12,9,3
2022-04-01,7,23,21,3
2022-04-02,10,27,41,6
2022-04-03,6,9,15,4
2022-04-04,2,6,11,1
2022-04-05,3,7,11,2
2022-04-06,5,7,11,2
2022-04-07,5,17,15,3
2022-04-08,8,16,20,4
2022-04-09,11,19,25,5
2022-04-10,14,15,23,7
2022-04-11,30,16,23,15
2022-04-12,36,25,27,22
2022-04-13,12,11,18,10
2022-04-14,14,22,28,8
2022-04-15,28,23,32,19
2022-04-16,37,19,20,29
2022-04-17,34,19,20,26
2022-04-18,5,10,12,3
2022-04-19,9,20,21,5
2022-04-20,18,22,24,14
2022-04-21,25,16,17,20
2022-04-22,23,No data,6,11
2022-04-23,27,No data,6,13
2022-04-24,21,No data,4,9
2022-04-25,14,No data,11,7
2022-04-26,11,No data,14,6
2022-04-27,17,No data,7,7
2022-04-28,16,No data,21,8
2022-04-29,19,No data,46,12
2022-04-30,14,13,23,10
2022-05-01,8,11,18,6
2022-05-02,11,9,9,8
2022-05-03,23,20,24,13
2022-05-04,11,15,20,9
2022-05-05,6,14,20,3
2022-05-06,7,13,29,4
2022-05-07,17,16,13,9
2022-05-08,20,13,18,11
2022-05-09,17,11,19,10
2022-05-10,9,6,9,4
2022-05-11,7,8,13,4
2022-05-12,7,8,14,3
2022-05-13,18,10,10,10
2022-05-14,25,17,24,15
2022-05-15,26,19,24,18
2022-05-16,21,20,28,15
2022-05-17,16,15,28,9
2022-05-18,11,12,18,5
2022-05-19,7,18,17,4
2022-05-20,8,15,17,4
2022-05-21,7,12,10,4
2022-05-22,5,9,10,3
2022-05-23,6,25,18,3
2022-05-24,5,24,14,2
2022-05-25,6,14,11,2
2022-05-26,9,15,12,4
2022-05-27,10,12,10,4
2022-05-28,7,10,5,3
2022-05-29,9,11,9,3
2022-05-30,8,21,20,5
2022-05-31,13,27,25,9
2022-06-01,11,21,15,7
2022-06-02,15,16,19,10
2022-06-03,10,10,7,7
2022-06-04,9,10,7,5
2022-06-05,11,9,5,7
2022-06-06,11,9,4,6
2022-06-07,16,13,8,9
2022-06-08,8,24,17,5
2022-06-09,6,13,14,3
2022-06-10,18,9,9,9
2022-06-11,12,3,6,6
2022-06-12,8,8,5,4
2022-06-13,9,9,12,5
2022-06-14,10,17,22,6
2022-06-15,13,20,28,7
2022-06-16,13,No data,27,7
2022-06-17,14,No data,14,5
2022-06-18,13,6,8,6
2022-06-19,9,8,5,4
2022-06-20,13,24,17,6
2022-06-21,9,18,17,4
2022-06-22,12,23,25,6
2022-06-23,13,14,21,7
2022-06-24,20,18,30,13
2022-06-25,9,6,10,4
2022-06-26,11,5,9,5
2022-06-27,7,12,11,3
2022-06-28,16,8,15,6
2022-06-29,9,17,25,5
2022-06-30,10,28,29,6
2022-07-01,6,20,17,3
2022-07-02,5,8,8,2
2022-07-03,5,16,7,3
2022-07-04,5,14,9,2
2022-07-05,5,16,14,2
2022-07-06,4,6,10,2
2022-07-07,8,12,13,4
2022-07-08,5,8,12,3
2022-07-09,6,14,No data,4
2022-07-10,6,12,No data,4
2022-07-11,7,11,No data,3
2022-07-12,11,8,No data,5
2022-07-13,8,9,No data,4
2022-07-14,6,12,No data,3
2022-07-15,5,20,No data,3
2022-07-16,10,14,No data,7
2022-07-17,13,11,No data,8
2022-07-18,15,17,No data,8
2022-07-19,34,29,No data,15
2022-07-20,17,9,No data,10
2022-07-21,8,11,No data,4
2022-07-22,9,13,No data,4
2022-07-23,10,9,12,6
2022-07-24,8,5,6,4
2022-07-25,9,9,9,4
2022-07-26,9,15,16,3
2022-07-27,15,19,23,7
2022-07-28,12,20,32,6
2022-07-29,11,14,23,5
2022-07-30,6,12,15,3
2022-07-31,9,9,8,4
2022-08-01,9,12,15,4
2022-08-02,5,9,9,2
2022-08-03,7,12,9,3
2022-08-04,6,19,15,3
2022-08-05,7,22,14,4
2022-08-06,8,14,9,4
2022-08-07,8,10,6,5
2022-08-08,8,18,19,5
2022-08-09,10,15,28,5
2022-08-10,21,19,33,8
2022-08-11,17,22,35,8
2022-08-12,13,17,22,7
2022-08-13,10,17,17,7
2022-08-14,18,11,12,12
2022-08-15,18,8,8,13
2022-08-16,13,6,7,8
2022-08-17,12,13,11,4
2022-08-18,15,10,17,6
2022-08-19,9,10,13,4
2022-08-20,11,8,10,5
2022-08-21,7,10,14,4
2022-08-22,12,27,34,7
2022-08-23,9,21,No data,5
2022-08-24,6,15,No data,3
2022-08-25,7,28,No data,4
2022-08-26,9,19,No data,5
2022-08-27,10,19,No data,6
2022-08-28,12,13,No data,9
2022-08-29,5,11,No data,3
2022-08-30,7,16,No data,3
2022-08-31,6,13,No data,3
