Date,NOx_1,NOx_2,PM10_1,PM10_2,PM2.5_1,PM2.5_2
2019-08-16,57,73,13,9,9,9
2019-08-17,16,16,12,9,7,8
2019-08-18,13,12,12,9,7,8
2019-08-19,No data,25,No data,11,No data,8
2019-08-20,No data,41,No data,12,No data,9
2019-08-21,29,28,12,10,8,8
2019-08-22,26,26,10,9,7,7
2019-08-23,38,52,13,12,10,10
2019-08-24,76,73,25,22,20,18
2019-08-25,34,67,38,35,31,30
2019-08-26,20,26,23,20,20,19
2019-08-27,43,59,23,18,18,17
2019-08-28,37,37,14,13,11,11
2019-08-29,26,24,12,10,8,7
2019-08-30,21,17,16,11,10,9
2019-08-31,18,23,9,8,6,6
2019-09-01,23,27,9,8,5,6
2019-09-02,29,31,11,9,6,6
2019-09-03,26,22,8,6,6,5
2019-09-04,24,31,8,7,6,6
2019-09-05,24,31,10,8,6,6
2019-09-06,25,24,12,9,7,7
2019-09-07,23,63,9,10,6,8
2019-09-08,27,37,11,10,9,7
2019-09-09,67,98,20,17,16,No data
2019-09-10,34,43,12,11,9,No data
2019-09-11,25,25,11,8,6,No data
2019-09-12,29,22,11,8,7,6
2019-09-13,31,55,11,9,6,8
2019-09-14,48,43,16,12,11,10
2019-09-15,18,27,12,10,8,9
2019-09-16,27,51,10,9,7,7
2019-09-17,36,66,11,10,7,7
2019-09-18,55,70,16,11,10,9
2019-09-19,60,76,18,14,13,12
2019-09-20,88,104,22,17,17,15
2019-09-21,34,88,21,16,13,14
2019-09-22,47,82,29,23,24,24
2019-09-23,49,60,14,No data,11,10
2019-09-24,64,100,12,No data,10,10
2019-09-25,60,103,13,15,10,10
2019-09-26,38,40,11,9,8,6
2019-09-27,36,38,9,7,6,6
2019-09-28,32,48,7,5,6,6
2019-09-29,19,54,5,6,6,7
2019-09-30,47,74,11,10,9,7
2019-10-01,24,83,6,6,5,6
2019-10-02,38,59,7,7,6,5
2019-10-03,96,140,18,18,13,12
2019-10-04,53,105,12,12,11,10
2019-10-05,67,87,14,17,13,11
2019-10-06,25,54,10,11,11,9
2019-10-07,61,69,14,13,13,9
