Date,PM10,PM2.5,NOx
2020-07-04,4,2,4
2020-07-05,8,3,2
2020-07-06,7,3,4
2020-07-07,7,4,6
2020-07-08,7,3,7
2020-07-09,5,2,6
2020-07-10,7,3,6
2020-07-11,7,4,6
2020-07-12,7,4,6
2020-07-13,7,3,7
2020-07-14,7,3,6
2020-07-15,5,3,7
2020-07-16,8,5,7
2020-07-17,15,6,8
2020-07-18,11,5,6
2020-07-19,8,4,6
2020-07-20,7,4,6
2020-07-21,8,4,7
2020-07-22,11,5,7
2020-07-23,9,4,7
2020-07-24,8,5,8
2020-07-25,6,3,6
2020-07-26,7,3,4
2020-07-27,7,4,6
2020-07-28,7,3,4
2020-07-29,6,3,5
2020-07-30,14,7,10
2020-07-31,25,12,No data
2020-08-01,8,4,No data
2020-08-02,8,3,7
2020-08-03,6,3,8
2020-08-04,14,6,7
2020-08-05,10,3,7
2020-08-06,7,3,9
2020-08-07,19,7,No data
2020-08-08,20,11,No data
2020-08-09,23,16,No data
2020-08-10,26,15,No data
2020-08-11,35,24,No data
2020-08-12,38,28,No data
2020-08-13,22,15,No data
2020-08-14,21,14,No data
2020-08-15,21,14,8
2020-08-16,21,15,10
2020-08-17,15,10,11
2020-08-18,12,7,11
2020-08-19,8,5,10
2020-08-20,11,5,8
2020-08-21,15,6,6
2020-08-22,8,4,3
2020-08-23,5,3,3
2020-08-24,7,4,6
2020-08-25,7,3,5
2020-08-26,No data,No data,No data
2020-08-27,12,6,No data
2020-08-28,8,5,5
2020-08-29,13,6,4
2020-08-30,13,6,3
2020-08-31,8,5,10
2020-09-01,10,6,23
2020-09-02,12,8,12
2020-09-03,6,4,6
2020-09-04,10,6,7
2020-09-05,11,6,7
2020-09-06,10,6,7
2020-09-07,9,6,10
2020-09-08,8,5,8
2020-09-09,7,3,8
2020-09-10,13,7,10
2020-09-11,12,6,10
2020-09-12,8,4,6
2020-09-13,10,6,7
2020-09-14,15,9,21
2020-09-15,25,19,26
2020-09-16,22,15,11
2020-09-17,15,5,7
2020-09-18,14,4,9
2020-09-19,18,7,10
2020-09-20,15,6,7
2020-09-21,16,9,17
2020-09-22,29,16,15
2020-09-23,10,7,9
2020-09-24,5,3,8
2020-09-25,7,4,4
2020-09-26,15,8,4
2020-09-27,17,9,4
2020-09-28,12,7,17
2020-09-29,13,9,30
2020-09-30,9,6,8
2020-10-01,6,4,12
2020-10-02,13,7,11
2020-10-03,19,13,10
2020-10-04,4,2,6
2020-10-05,8,6,9
2020-10-06,5,3,9
2020-10-07,8,4,8
2020-10-08,7,4,10
2020-10-09,9,5,14
2020-10-10,7,4,9
2020-10-11,8,4,7
2020-10-12,9,6,15
2020-10-13,10,6,13
2020-10-14,11,5,14
2020-10-15,8,4,11
2020-10-16,9,4,15
2020-10-17,8,5,11
2020-10-18,8,5,11
2020-10-19,14,10,12
2020-10-20,17,10,10
2020-10-21,10,6,13
2020-10-22,8,5,11
2020-10-23,8,5,11
2020-10-24,7,4,6
2020-10-25,6,3,6
2020-10-26,8,4,11
2020-10-27,7,4,9
2020-10-28,10,6,8
2020-10-29,9,5,10
2020-10-30,6,4,8
2020-10-31,10,6,6
2020-11-01,10,6,5
2020-11-02,6,3,4
2020-11-03,7,4,11
2020-11-04,20,16,46
2020-11-05,36,30,43
2020-11-06,34,28,44
2020-11-07,28,23,36
2020-11-08,26,21,38
2020-11-09,21,17,22
2020-11-10,16,12,24
2020-11-11,11,9,12
2020-11-12,8,5,9
2020-11-13,11,7,13
2020-11-14,12,8,8
2020-11-15,8,5,4
2020-11-16,7,5,8
2020-11-17,6,4,7
2020-11-18,9,6,7
2020-11-19,11,7,13
2020-11-20,12,9,20
2020-11-21,5,3,5
2020-11-22,11,8,12
2020-11-23,15,11,27
2020-11-24,11,9,12
2020-11-25,19,15,18
2020-11-26,25,20,64
2020-11-27,21,18,73
