CityName,CityCode,MSOAName,MSOACode,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
Plymouth,J01000072,Plymouth 024,E02003145,0.07028269331243465,0.03559443573667708,0.20573902821316611,0.059874490595611264,0.026263806165099247,0.0039612330198536844,2.5352664576802197e-05,0.0003544278996865138,0.20146367554858932,0.0145413923719958,0.3482254963427377,0.0003263714733542265,2.1865203761755015e-05,0.030227547021943545,0.0016156478578892358,0.0013469958202716817,2.6750261233019435e-05,5.55773249738765e-05,5.321316614419974e-05
Plymouth,J01000072,Plymouth 025,E02003146,0.07020464181286547,0.03487169225146196,0.2977533625730994,0.07841427266081868,0.021576717836257288,0.004715752923976581,9.978070175438158e-06,0.000212536549707597,0.14298090277777775,0.007917543859649106,0.30166697733918124,0.00033324195906432293,6.743421052631359e-06,0.03835908260233915,0.0006306286549707589,4.276315789473465e-06,7.748538011695759e-06,0.0001974780701754371,0.0001364217836257288
Plymouth,J01000072,Plymouth 026,E02003147,0.09174655011655009,0.047082972027971993,0.22108792540792538,0.07210776223776222,0.038986724941724914,0.004614801864801837,0.00017496503496503352,0.0006660839160839069,0.13883205128205126,0.02070907925407923,0.3301606876456876,0.0003676223776223723,2.5209790209789695e-05,0.0327655361305361,0.0003638811188811165,4.3403263403262795e-05,1.6142191142190907e-05,0.00014479020979020864,0.00010381118881118718
Plymouth,J01000072,Plymouth 027,E02003148,0.10971020313942749,0.06243815789473681,0.31776312326869804,0.038550542474607555,0.02315078485687902,0.005636011080332381,0.0003684672206832838,0.0009997229916897368,0.12190326638965833,0.023869402123730364,0.2660923476454294,0.003043178670360098,4.329409048938029e-05,0.022932790858725738,0.0018813365650969494,0.0012900623268698036,3.1879039704524286e-05,0.000171952908587257,0.0001234764542936264
Plymouth,J01000072,Plymouth 028,E02003149,0.10199061324303985,0.03907373965387506,0.24689183596689238,0.05117479307750186,0.0308274924755455,0.00596212377727612,0.00010552106847253394,0.000862970278404805,0.09207204665161772,0.016291958239277635,0.37882610985703535,0.0004644187358916425,4.169488337095527e-05,0.032181753197893126,0.0027996708051166246,0.00016461625282166968,1.2330699774266066e-05,0.0001208897667419102,0.00013542136945071266
Plymouth,J01000072,Plymouth 029,E02003150,0.09360852021746514,0.0447457951070336,0.27598761467889904,0.0669709480122324,0.02786296296296294,0.004567906897723385,7.438837920489148e-05,0.0006548674821610492,0.1291204298335032,0.014551087325857952,0.30921699796126395,0.0005512232415902065,2.0361875637104655e-05,0.030943459055385633,0.000542405708460753,0.0001568382602786265,4.122494053686687e-05,0.0002727319062181436,0.00011023615358477632
Plymouth,J01000072,Plymouth 030,E02003151,0.07421091030789823,0.04429370816599729,0.13644627175368138,0.035581432396251646,0.016602971887550177,0.004425488621151244,1.811244979919633e-05,0.00040448460508700994,0.18307331994645243,0.027067510040160614,0.4545495515394913,0.0001899330655957135,4.149933065595501e-06,0.022024799196787122,0.0006723427041499319,0.00036323962516733577,1.0040160642570281e-07,3.7697456492636845e-05,3.397590361445732e-05
Plymouth,J01000072,Plymouth 031,E02003152,0.08166670068027208,0.03934505668934237,0.16023777210884352,0.03182387755102038,0.018930589569160976,0.004638917233560063,4.759637188208558e-05,0.00042476190476189844,0.16063142857142854,0.028831383219954626,0.43806047052154196,0.0003306519274376372,0.00021566326530612215,0.03314846371882083,0.0009464342403628097,0.0004900113378684801,1.529478458049857e-05,0.00014464852607709686,7.027777777777643e-05
Plymouth,J01000072,Plymouth 032,E02003153,0.06925182344921604,0.04076467280163596,0.15244259543285613,0.03002520449897748,0.014238275391956354,0.0037887781186093823,3.0589638718468646e-06,0.00015899795501022115,0.16316925698704837,0.031051491138377615,0.4603753834355828,0.00023680129516018741,0.00014348159509202407,0.033087142126789336,0.0005258605998636665,0.00047427573278800207,0.0001358469665985003,9.110429447852682e-05,3.5949216087252215e-05
Plymouth,J01000072,South Hams 001,E02004189,0.09172615942028982,0.03608788647342992,0.10510497584541059,0.00947777777777776,0.01259896135265699,0.002951714975845387,5.144927536231594e-06,0.0003864734299516835,0.25252344202898547,0.05611318840579707,0.41100570048309176,0.00018175120772946624,0.00020979468599033763,0.02021503623188403,0.0011281521739130416,0.00022623188405797054,8.212560386472464e-07,3.661835748792218e-05,2.016908212560343e-05
Portsmouth,J01000074,Portsmouth 001,E02003524,0.1198092371079213,0.05066769005847951,0.13294562732589044,0.01686330409356723,0.03587125199362038,0.004621065922381685,1.5377458798510687e-05,0.000391772993088774,0.1752923179160021,0.05821127060074425,0.3635922514619883,0.00030882509303561473,7.530568846358299e-05,0.040060645933014324,0.0010597820308346603,5.170122275385349e-05,1.3689526847419458e-06,0.00012037480063795758,4.082934609250314e-05
Portsmouth,J01000074,Portsmouth 002,E02003525,0.14231995143149279,0.05583655419222901,0.15213476482617586,0.015584815950920225,0.033020488241308765,0.005827530674846596,7.834867075664448e-05,0.0006947852760736078,0.16257676380368097,0.03079182004089977,0.35737744120654397,0.0004800869120654328,9.311094069529566e-05,0.03990975204498975,0.0027483384458077678,0.0002637908997954998,9.176891615541718e-06,0.00010653118609406865,0.0001459483640081791
Portsmouth,J01000074,Portsmouth 003,E02003526,0.07610778769841267,0.0502333333333333,0.16287848462301585,0.035548053075396796,0.018782924107142832,0.003972160218253943,3.4734623015872565e-05,0.00033312251984126404,0.22209985119047615,0.023173747519841244,0.3749662202380952,0.00034785466269840844,0.0002100694444444439,0.030413665674603147,0.0007989087301587286,3.200644841269796e-05,5.43154761904747e-06,4.064980158730119e-05,2.0994543650793006e-05
Portsmouth,J01000074,Portsmouth 004,E02003527,0.13714819382162427,0.04878867713004482,0.14656340308918783,0.01874313652217238,0.024839250124564,0.004682224713502713,3.9922770303935575e-05,0.0006937219730941609,0.16315520677628298,0.03827426507224711,0.3787120453413054,0.0002742526158445402,0.0001063776781265562,0.03550914299950172,0.0018715495764823093,0.0004104260089686092,2.047832585949143e-05,0.00013886397608370624,2.886148480318829e-05
