CityName,CityCode,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
Manchester,J01000058,0.1034000404360549,0.055927217905926536,0.18057851162595012,0.02443498887424151,0.03873058414906644,0.005001123795099028,0.00010582793406819303,0.0005090116306248103,0.20177314625230225,0.020705457698744358,0.33582310090782447,0.0005623442160079973,0.00010770856122439388,0.030227293168410295,0.0015428005123458498,0.00042908380781420856,3.073163548649459e-05,4.02261614263404e-05,7.080072738151872e-05
Newcastle-upon-Tyne,J01000062,0.1504014911389547,0.06835624760130937,0.1659887955751213,0.025447016028897144,0.031170226041313896,0.00423423834518566,0.00010051529518004167,0.0005236869285472324,0.17509035811039617,0.03522797268314706,0.3145870546901456,0.0004999032057794281,3.731374873010458e-05,0.026538440851111837,0.0011952198329382528,0.0004518678744779314,2.940766452195493e-05,5.331301501298069e-05,6.693136922903157e-05
Norwich,J01000066,0.1714102930526722,0.08161358808477764,0.13274347913548654,0.02143382778931104,0.021751700622797254,0.004110719918247773,0.00010040232382239722,0.0003694998310239875,0.2195340551022707,0.04427301855517466,0.2726514548029418,0.000435764576192081,9.268977614702457e-05,0.02760041037029882,0.0012385044014226155,0.0004270341492460446,2.144305508617763e-05,9.42314810344543e-05,9.788297204653977e-05
Nottingham,J01000067,0.10436233695501342,0.055249729761607386,0.1715058928620986,0.022636254266921965,0.0361565832015097,0.005065279049759914,0.00012877813393278272,0.00047227784253322527,0.18785307426525683,0.02755243179862901,0.35863930667721255,0.0004911383315294263,9.67699747453718e-05,0.027662129853190102,0.001532386978602945,0.0004336368745316786,5.209772985874036e-05,4.559188799156281e-05,6.430355507451388e-05
Oxford,J01000070,0.0899093022393593,0.04634472292253692,0.1601026546047753,0.023283861041079615,0.021775473330367272,0.003773317390874461,8.118604478718593e-05,0.0004858303672944697,0.24570081689653467,0.0293278968312818,0.3470732976172821,0.0005768747837263279,0.0001641090760788956,0.02872054229077065,0.001380222700084036,0.0007142240100845315,3.273518216421958e-05,0.00011008576795689258,0.0004428469029610924
Plymouth,J01000072,0.08038265667590273,0.03948847317023718,0.16939745978914642,0.034562737097609854,0.01971228036088394,0.004007648509833048,5.504015453582863e-05,0.0004020564416210427,0.18706873042959155,0.033481467527201436,0.3991184823500259,0.00035490302088260717,4.110743168660282e-05,0.030334778727669997,0.0011182089274852994,0.0002535164785654745,2.0687470433195786e-05,0.00012350448289067528,7.626095379693964e-05
Portsmouth,J01000074,0.0931995247990189,0.045461028977608176,0.23272262115637915,0.0253044772221465,0.024352615024753575,0.004577440159876431,7.674581005586498e-05,0.0005536789753372302,0.12950386065313166,0.021053241813144368,0.37726338113730296,0.0005626828132806411,8.984023708952124e-05,0.04250840997865283,0.0021526786119816475,0.0003280345869101142,5.531123677158534e-05,0.00012154414770404595,0.00011288265885451967
Preston,J01000075,0.14476500866122244,0.07397410727542685,0.16447694444444444,0.01656895199208115,0.02499133073496657,0.004434373917347164,9.060566691412923e-05,0.0004259564464241449,0.1935419339272457,0.03382041388270228,0.31407572135609996,0.0003803767631774269,4.047760455332795e-05,0.026819062731997002,0.0011958017817371917,0.00030543120514724023,1.5485647117050092e-05,3.4005196733481343e-05,4.4010764662211426e-05
Salford,J01000080,0.1356984177363991,0.06484462665161984,0.15572320966756004,0.02928190859077442,0.05002671627403957,0.0051408508487327505,0.00014130812996661338,0.0006153030516762958,0.20316834767480133,0.02296152372219869,0.30430135538627917,0.0004419252833027638,6.588376357737289e-05,0.024990861428504228,0.0019203166878262068,0.000496011426153194,5.353952132411684e-05,6.561574269995706e-05,6.227841256406523e-05
Sheffield,J01000082,0.13475805731832136,0.06075971272603204,0.15219278795632887,0.026468025929716796,0.022485163084271557,0.004463978676219693,0.00010922893210508236,0.0003672852268850149,0.19884298174684406,0.03989328539747524,0.327803735243944,0.0003432683384510363,6.383401569430195e-05,0.029579000341180457,0.0014082550324121441,0.00029438075742067496,4.6316786079836025e-05,7.580501535312135e-05,4.489747526441402e-05
Southampton,J01000087,0.14351006642382683,0.06145686700949929,0.1446778080137133,0.01794944325405326,0.022935981001357023,0.004141372044853912,7.369116491679071e-05,0.00044202699807155833,0.22641047675166057,0.03997150489250765,0.3021278347975144,0.0003965516748803611,8.321084208270788e-05,0.03372361795586027,0.0014759488607956552,0.0004652267695164626,3.059281479894278e-05,6.577244482536902e-05,6.200628526533712e-05
Southend-on-Sea,J01000088,0.14415410568918022,0.07178972231198925,0.17294271117061383,0.018873134896819143,0.022966785543911458,0.005102212501731195,7.16799008971566e-05,0.00047351422679776944,0.1558583329486173,0.03799196482156869,0.32702160372712863,0.0004812412477109344,7.160949786867285e-05,0.039887092778111165,0.0016728213532770085,0.0004456580951941271,3.894364679993211e-05,7.83966575873682e-05,7.846898419586507e-05
Stoke on Trent,J01000095,0.16194477768285734,0.08168358385539552,0.14686293154882973,0.023200474263010855,0.027122232731266755,0.005069452580478913,7.899784395085751e-05,0.0004244759037778249,0.1682751745857402,0.03611420280421986,0.3213637312532205,0.00031696430992866995,4.5840452363517726e-05,0.025688369538686816,0.0015638410896862181,0.00013808613348520552,3.096710330051778e-05,3.959468988148471e-05,3.6301629918910135e-05
Sunderland,J01000096,0.08066193871112194,0.045412564118221754,0.19119037056261193,0.028160800867122596,0.03286295849617323,0.004638958435108261,5.9297651034032875e-05,0.000372854075069201,0.12123503144846114,0.031363756920696935,0.43817146535580526,0.0003403888821038876,0.00014352253297508517,0.023704811411007953,0.0012729538145253199,0.00026919424767953053,7.21075557726753e-05,3.0468368343917454e-05,3.655654616511875e-05
York,J01000112,0.10925265508178311,0.056804044502283775,0.17130727946617672,0.01981769629232691,0.02006453341498888,0.0037372081451427434,5.785169307713828e-05,0.0003892693102656283,0.19150223723493837,0.03579930273801319,0.3653742912551991,0.00044978374033529333,0.0001493722728316613,0.023936599555997827,0.0007470055372681095,0.0003721573655872816,6.412768889229106e-05,4.6651483834749044e-05,0.0001279332210569279
