CityName,CityCode,MSOAName,MSOACode,RoadLength,Area,RoadDensity
Birmingham,J01000007,Solihull 001,E02002081,37.293,1.8558203603363,20.09515618917016
Birmingham,J01000007,Solihull 002,E02002082,17.193,0.6973328870391851,24.655369507954784
Birmingham,J01000007,Solihull 003,E02002083,32.608,1.34614539647675,24.22323776119914
Birmingham,J01000007,Solihull 004,E02002084,37.588,1.45976864077759,25.74928584571978
Birmingham,J01000007,Solihull 005,E02002085,22.316,1.46196631854248,15.264373547434475
Birmingham,J01000007,Solihull 006,E02002086,30.131,1.45968242408752,20.642161269315523
Birmingham,J01000007,Solihull 007,E02002087,22.443,1.2020004090499898,18.67137467759932
Birmingham,J01000007,Solihull 008,E02002088,35.268,1.67985214072418,20.994704917776904
Birmingham,J01000007,Solihull 009,E02002089,246.237,15.0054746484604,16.40981080363656
Birmingham,J01000007,Walsall 039,E02002148,58.204,7.600176213500981,7.658243488697829
Birmingham,J01000007,Bromsgrove 003,E02006698,9.903,5.05819987731934,1.9578111265243687
Birmingham,J01000007,Bromsgrove 004,E02006699,4.758,2.19359598743439,2.169041166766955
Birmingham,J01000007,Bromsgrove 005,E02006700,28.634,17.1184091750717,1.6727021598302263
Birmingham,J01000007,Birmingham 132,E02006807,22.068,1.44523992145538,15.269437048055778
Birmingham,J01000007,Birmingham 133,E02006809,30.777,3.72639768986511,8.25918287887144
Birmingham,J01000007,Birmingham 134,E02006895,28.391,0.862739068855286,32.907979973215106
Birmingham,J01000007,Birmingham 135,E02006896,35.735,1.2576885998001102,28.41323361417088
Birmingham,J01000007,Birmingham 136,E02006897,23.389,0.837045207397461,27.94233787291014
Birmingham,J01000007,Birmingham 137,E02006898,27.433,1.03627787529755,26.472629257015708
Birmingham,J01000007,Birmingham 138,E02006899,30.692,1.1190919793624898,27.42580642699649
Birmingham,J01000007,Birmingham 139,E02006900,49.471,2.0083518732223498,24.632635674855635
Birmingham,J01000007,Birmingham 140,E02006901,43.954,2.37910390184784,18.47502329169445
Bradford,J01000013,Bradford 017,E02002199,62.564,8.915768949798581,7.017229848852622
Bradford,J01000013,Bradford 019,E02002201,57.538,2.71978017160034,21.15538623334554
Bradford,J01000013,Bradford 024,E02002206,33.665,1.8557364120636,18.141046207399757
Bradford,J01000013,Bradford 026,E02002208,37.009,1.49684758525085,24.724628188378865
Bradford,J01000013,Bradford 027,E02002209,27.22,1.58477172216797,17.17597532770398
Bradford,J01000013,Bradford 028,E02002210,28.273,1.3949459365387,20.26816900886798
Bradford,J01000013,Bradford 029,E02002211,26.85,2.2191154395904498,12.099415614428477
Bradford,J01000013,Bradford 030,E02002212,28.431,2.5614580858612097,11.099537469277376
Bradford,J01000013,Bradford 032,E02002214,23.802,1.04415375495911,22.79549337150265
Bradford,J01000013,Bradford 033,E02002215,34.983,1.0941314237518298,31.97330708228961
Bradford,J01000013,Bradford 034,E02002216,35.855,1.75071631707764,20.4801883950282
Bradford,J01000013,Bradford 035,E02002217,34.921,1.98188456100464,17.62009790433916
Bradford,J01000013,Bradford 036,E02002218,41.065,3.23100020147705,12.70968661073656
Bradford,J01000013,Bradford 037,E02002219,22.119,0.780426870056152,28.34218150178316
Bradford,J01000013,Bradford 038,E02002220,31.387,1.33998493275452,23.42339770603225
Bradford,J01000013,Bradford 039,E02002221,95.207,3.03979274917603,31.320227349646427
Bradford,J01000013,Bradford 040,E02002222,30.391,1.7798977232208302,17.07457659140419
Bradford,J01000013,Bradford 041,E02002223,48.855,2.06790649989319,23.62534282982495
Bradford,J01000013,Bradford 042,E02002224,28.342,1.03466397380066,27.392468199980463
Bradford,J01000013,Bradford 044,E02002226,52.411,1.8209471729583704,28.78227374100665
Bradford,J01000013,Bradford 045,E02002227,63.134,2.16197879193115,29.201951580480888
Bradford,J01000013,Bradford 046,E02002228,57.214,2.52104753102112,22.694534433004584
Bradford,J01000013,Bradford 047,E02002229,36.718,3.91377042771912,9.381745985903072
Bradford,J01000013,Bradford 048,E02002230,44.658,1.43135265161133,31.199858364552394
Bradford,J01000013,Bradford 049,E02002231,51.251,2.74992306518555,18.63724867391585
Bradford,J01000013,Bradford 050,E02002232,23.646,1.05766883711243,22.356714285500345
Bradford,J01000013,Bradford 051,E02002233,24.657,0.863435340042114,28.55685753932351
Bradford,J01000013,Bradford 052,E02002234,31.64,1.63187592633057,19.38872894040761
Bradford,J01000013,Bradford 053,E02002235,42.965,1.63512510957336,26.27627681114292
Bradford,J01000013,Bradford 054,E02002236,26.84,1.16587078924561,23.02141905224946
Bradford,J01000013,Bradford 055,E02002237,33.145,1.44517417953491,22.9349516960418
Bradford,J01000013,Bradford 056,E02002238,34.789,1.0969631357116698,31.71391897087787
Bradford,J01000013,Bradford 057,E02002239,98.502,12.262229874939,8.032959829053114
Bradford,J01000013,Bradford 058,E02002240,67.923,7.24380109837341,9.37670693570701
Bradford,J01000013,Bradford 059,E02002241,55.739,2.75483766590881,20.2331341297426
Bradford,J01000013,Bradford 060,E02002242,69.207,3.8343602847137497,18.049164622298026
Bradford,J01000013,Bradford 061,E02002243,49.88,5.614035034637451,8.884875084008307
Bradford,J01000013,Kirklees 001,E02002271,52.929,6.71587813735962,7.881173380077039
Bradford,J01000013,Kirklees 003,E02002273,72.556,7.688165615982061,9.437361735440703
Brighton & Hove,J01000014,Brighton and Hove 001,E02003491,45.651,3.17935151351166,14.358588475037012
Brighton & Hove,J01000014,Brighton and Hove 002,E02003492,58.283,6.02890424607849,9.6672625109132
Brighton & Hove,J01000014,Brighton and Hove 003,E02003493,69.168,10.2642415475769,6.738734633181799
Brighton & Hove,J01000014,Brighton and Hove 004,E02003494,33.395,1.68690260542679,19.79663786905528
Brighton & Hove,J01000014,Brighton and Hove 006,E02003496,41.536,5.70667930352783,7.278488555388549
Brighton & Hove,J01000014,Brighton and Hove 007,E02003497,35.56,2.38553791836548,14.90649120528965
Brighton & Hove,J01000014,Brighton and Hove 008,E02003498,42.303,3.59015142448807,11.78306845540146
Brighton & Hove,J01000014,Brighton and Hove 009,E02003499,31.734,3.0656629353714,10.351431539930688
Brighton & Hove,J01000014,Brighton and Hove 010,E02003500,17.109,0.696452768856049,24.565915687437364
Brighton & Hove,J01000014,Brighton and Hove 011,E02003501,38.288,1.8441576072464,20.761782967763608
Brighton & Hove,J01000014,Brighton and Hove 013,E02003503,36.084,1.91204846113968,18.87190661396316
Brighton & Hove,J01000014,Brighton and Hove 014,E02003504,24.38,1.15283117949295,21.14793599763936
Brighton & Hove,J01000014,Brighton and Hove 015,E02003505,18.644,0.58317451209259,31.96984712706359
Brighton & Hove,J01000014,Brighton and Hove 016,E02003506,18.693,0.746685491634369,25.03463668362454
Brighton & Hove,J01000014,Brighton and Hove 018,E02003508,23.752,0.860290873733521,27.609266499504084
Brighton & Hove,J01000014,Brighton and Hove 019,E02003509,19.019,0.740548788131714,25.682305210412792
Brighton & Hove,J01000014,Brighton and Hove 020,E02003510,18.853,0.816640619365692,23.086042443790834
Brighton & Hove,J01000014,Brighton and Hove 021,E02003511,34.162,1.60433738513947,21.293526110176757
Brighton & Hove,J01000014,Brighton and Hove 022,E02003512,16.689,0.4704653606300349,35.473387408693654
Brighton & Hove,J01000014,Brighton and Hove 023,E02003513,18.63,0.80629604253006,23.1056572490934
Brighton & Hove,J01000014,Brighton and Hove 024,E02003514,14.178,0.454255543403625,31.211506839889584
Brighton & Hove,J01000014,Brighton and Hove 025,E02003515,39.672,3.6425495404892,10.89127259877212
Brighton & Hove,J01000014,Brighton and Hove 026,E02003516,15.711,0.4696482759475709,33.452693866066475
Brighton & Hove,J01000014,Brighton and Hove 027,E02003517,38.192,1.37682486426163,27.73918527428816
Brighton & Hove,J01000014,Brighton and Hove 028,E02003518,24.183,0.820994232570648,29.455748945129173
Brighton & Hove,J01000014,Brighton and Hove 029,E02003519,14.437,0.451661941963196,31.964172002732987
Brighton & Hove,J01000014,Brighton and Hove 030,E02003520,20.302,0.647459484169006,31.35640220956371
Brighton & Hove,J01000014,Brighton and Hove 031,E02003521,22.64,0.828159059192657,27.33774357557706
Brighton & Hove,J01000014,Brighton and Hove 032,E02003522,38.846,2.60316087157822,14.92262749648999
Bristol,J01000015,Bristol 001,E02003012,61.151,3.47459318524551,17.599470424241666
Bristol,J01000015,Bristol 002,E02003013,54.397,2.7617216029624903,19.69677173167944
Bristol,J01000015,Bristol 003,E02003014,161.433,10.878094014164,14.840191653961025
Bristol,J01000015,Bristol 004,E02003015,37.213,1.53933509910202,24.174723243631888
Bristol,J01000015,Bristol 005,E02003016,29.824,1.07412476879501,27.765861905835752
Bristol,J01000015,Bristol 006,E02003017,29.537,1.37902750291061,21.41871713048396
Bristol,J01000015,Bristol 007,E02003018,30.507,2.72348802367783,11.201444520693354
Bristol,J01000015,Bristol 008,E02003019,126.327,7.506387372158049,16.82926736082921
Bristol,J01000015,Bristol 009,E02003020,35.158,2.53296683583069,13.880165939270928
Bristol,J01000015,Bristol 010,E02003021,26.256,1.07162952080536,24.501004769136888
Bristol,J01000015,Bristol 011,E02003022,28.739,1.27842001237869,22.48009239665048
Bristol,J01000015,Bristol 012,E02003023,47.318,2.55720988892365,18.503760760880105
