CityName,CityCode,MSOAName,MSOACode,RoadLength,Area,RoadDensity
Birmingham,J01000007,Birmingham 119,E02001945,29.712,1.60721267634583,18.48666354943977
Birmingham,J01000007,Birmingham 120,E02001946,35.492,1.7985735508270302,19.733415952703112
Birmingham,J01000007,Birmingham 121,E02001947,25.146,1.22756093317413,20.48452286191567
Birmingham,J01000007,Birmingham 122,E02001948,24.764,1.25156931157684,19.78635922991758
Birmingham,J01000007,Birmingham 123,E02001949,40.648,1.9065216418457,21.320502798304847
Birmingham,J01000007,Birmingham 124,E02001950,44.088,1.88134447467804,23.43430487792243
Birmingham,J01000007,Birmingham 125,E02001951,41.444,1.61583961035156,25.64858525221014
Birmingham,J01000007,Birmingham 126,E02001952,40.639,1.66725703669739,24.37476592121653
Birmingham,J01000007,Birmingham 127,E02001953,41.948,2.1792994107666,19.24838771247324
Birmingham,J01000007,Birmingham 128,E02001954,36.327,1.83863891524506,19.757549836890195
Birmingham,J01000007,Birmingham 129,E02001955,56.521,2.84913572087097,19.83794579737386
Birmingham,J01000007,Birmingham 130,E02001956,40.493,1.61343455205536,25.097392359929213
Birmingham,J01000007,Birmingham 131,E02001957,29.336,1.340695597229,21.881178740821365
Birmingham,J01000007,Sandwell 032,E02002074,30.225,1.36821796550751,22.09077848849084
Birmingham,J01000007,Sandwell 036,E02002078,23.901,1.16122416593933,20.582589220115096
Birmingham,J01000007,Sandwell 037,E02002079,35.903,1.92937420797729,18.60862441902333
Birmingham,J01000007,Solihull 001,E02002081,33.57,1.8558203603363,18.0890352953756
Birmingham,J01000007,Solihull 002,E02002082,17.371,0.6973328870391851,24.910627797515414
Birmingham,J01000007,Solihull 003,E02002083,32.232,1.34614539647675,23.94392172224517
Birmingham,J01000007,Solihull 004,E02002084,39.555,1.45976864077759,27.09675964742593
Birmingham,J01000007,Solihull 005,E02002085,28.523,1.46196631854248,19.51002539404345
Birmingham,J01000007,Solihull 006,E02002086,37.711,1.45968242408752,25.835071641404458
Birmingham,J01000007,Solihull 007,E02002087,24.015,1.2020004090499898,19.97919453203884
Birmingham,J01000007,Solihull 008,E02002088,37.225,1.67985214072418,22.159688402071147
Birmingham,J01000007,Solihull 009,E02002089,257.161,15.0054746484604,17.13781176701301
Birmingham,J01000007,Walsall 039,E02002148,60.029,7.600176213500981,7.898369500086625
Birmingham,J01000007,Bromsgrove 003,E02006698,9.903,5.05819987731934,1.9578111265243687
Birmingham,J01000007,Bromsgrove 004,E02006699,5.089,2.19359598743439,2.3199349511721383
Birmingham,J01000007,Bromsgrove 005,E02006700,30.678,17.1184091750717,1.7921057784197698
Birmingham,J01000007,Birmingham 132,E02006807,22.985,1.44523992145538,15.903933775129692
Birmingham,J01000007,Birmingham 133,E02006809,39.141,3.72639768986511,10.503709817782989
Birmingham,J01000007,Birmingham 134,E02006895,32.764,0.862739068855286,37.97671994091155
Birmingham,J01000007,Birmingham 135,E02006896,38.37,1.2576885998001102,30.50834682456238
